dataset,candidate_name,condition_dominant,n_motors,MAE,RMSE,R2,CMAPSS_total,CMAPSS_mean,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,conservative_pct,bias
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,1,37,15.65119828404607,19.948304737902816,0.7817941096037302,259.4089644175904,7.011053092367309,67.56756756756756,37.83783783783784,16.216216216216218,32.432432432432435,1.0754816467697557
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,2,41,12.575207361360876,15.985044574740849,0.8383273510445289,146.3572096045853,3.569688039136227,53.65853658536586,26.82926829268293,14.634146341463413,46.34146341463415,0.739704457724967
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,3,38,12.479871298137464,16.060013039802506,0.8534614875657158,142.85514393054459,3.759345892909068,52.63157894736842,26.31578947368421,7.894736842105263,47.368421052631575,-0.7355494750173468
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,4,52,13.551062840681812,16.953780944265475,0.8356983381574918,199.2551502444681,3.831829812393617,40.38461538461539,19.230769230769234,7.6923076923076925,59.61538461538461,-3.873677290402927
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,5,33,10.43700348247181,13.644714610708222,0.8896789096291449,89.49760481546633,2.712048630771707,69.6969696969697,24.242424242424242,9.090909090909092,30.303030303030305,1.6197877652717358
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,6,57,11.558766314857884,14.426880275445004,0.877467890267432,145.5188176953848,2.552961713954119,45.614035087719294,17.543859649122805,5.263157894736842,54.385964912280706,-2.5806925254955626
