representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
temporal_w30,Ridge,90+,39,22.266578055064763,27.623081082004035,-2.393496021848468,470.1843351019204,12.056008592356934,0.0
temporal_w30,Ridge,60-90,20,15.177199010833643,19.512920110264336,0.0,202.7373519330236,10.13686759665118,30.0
temporal_w30,Ridge,30-60,20,19.078487493850417,22.834680044407808,0.0,300.63710340400786,15.031855170200393,40.0
temporal_w30,Ridge,0-30,20,13.49860033307281,16.088913734765423,0.0,99.77628188714714,4.988814094357357,15.0
temporal_w30,RandomForestRegressor,90+,39,16.85452659517157,19.846652924024852,-0.7517723120119215,165.46215345598054,4.242619319384117,0.0
temporal_w30,RandomForestRegressor,60-90,20,19.480671038742955,22.727859107222802,0.0,231.90888920268247,11.595444460134123,50.0
temporal_w30,RandomForestRegressor,30-60,20,12.36521911681687,16.91243169807424,0.0,174.62079576002702,8.73103978800135,20.0
temporal_w30,RandomForestRegressor,0-30,20,3.6836192718895644,4.18318131673826,0.0,8.94200683981008,0.447100341990504,0.0
temporal_w30,MLP,90+,39,17.7767828916892,21.05151266956763,-0.9709232994580881,196.09394315536935,5.02804982449665,0.0
temporal_w30,MLP,60-90,20,19.431125259399415,23.078791948584183,0.0,284.30466052328325,14.215233026164162,55.00000000000001
temporal_w30,MLP,30-60,20,13.102542877197266,17.721012742044326,0.0,142.44782045167142,7.122391022583571,20.0
temporal_w30,MLP,0-30,20,3.642363357543945,5.147424897516681,0.0,10.74195172638378,0.537097586319189,0.0
