representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
temporal_w30,RandomForestRegressor,90+,39,16.854526595171574,19.846652924024852,-0.7517723120119215,165.4621534559805,4.242619319384116,0.0
temporal_w30,RandomForestRegressor,60-90,20,19.48067103874295,22.727859107222805,0.0,231.90888920268247,11.595444460134123,50.0
temporal_w30,RandomForestRegressor,30-60,20,12.365219116816869,16.912431698074236,0.0,174.6207957600269,8.731039788001345,20.0
temporal_w30,RandomForestRegressor,0-30,20,3.683619271889564,4.183181316738259,0.0,8.942006839810078,0.4471003419905039,0.0
temporal_w30,XGBRegressor,90+,39,17.336377853002304,20.64281577333488,-0.8951386177831986,188.76294292753758,4.840075459680451,0.0
temporal_w30,XGBRegressor,60-90,20,17.969041442871095,20.0300328978586,0.0,151.38222682584745,7.5691113412923725,35.0
temporal_w30,XGBRegressor,30-60,20,12.338805007934571,14.204750947081187,0.0,65.81541603116483,3.2907708015582413,10.0
temporal_w30,XGBRegressor,0-30,20,4.847879648208618,6.082971471598516,0.0,12.614983892943348,0.6307491946471674,0.0
temporal_w30,LGBMRegressor,90+,39,17.46316457426085,20.406577467217335,-0.8520105332478065,176.17262417121773,4.517246773620967,0.0
temporal_w30,LGBMRegressor,60-90,20,16.484271561530896,19.676366368027704,0.0,170.0492826504895,8.502464132524475,40.0
temporal_w30,LGBMRegressor,30-60,20,8.545873709455318,11.063004659484264,0.0,39.38801405214513,1.9694007026072566,15.0
temporal_w30,LGBMRegressor,0-30,20,4.325693817922822,5.371489992133556,0.0,11.705092295435913,0.5852546147717956,0.0
