representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
temporal_w50,LGBMRegressor_cmapss_weighted_objective,90+,39,28.21828367559252,31.66753247746273,-3.459966095596987,536.3275609255611,13.751988741681053,0.0
temporal_w50,LGBMRegressor_cmapss_weighted_objective,60-90,20,9.566912080718833,10.932072721350014,0.0,35.619849719053335,1.7809924859526667,0.0
temporal_w50,LGBMRegressor_cmapss_weighted_objective,30-60,20,6.927673982049735,8.38179172139685,0.0,23.869040811973036,1.1934520405986517,0.0
temporal_w50,LGBMRegressor_cmapss_weighted_objective,0-30,20,3.4153232286175284,4.071452801203615,0.0,8.121513823878495,0.4060756911939247,0.0
