representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,mae_rul_0_30,dangerous_error_pct_rul_0_30,mae_rul_30_60,dangerous_error_pct_rul_30_60,mae_rul_60_90,dangerous_error_pct_rul_60_90,mae_rul_90plus,dangerous_error_pct_rul_90plus,window_size,rul_cap,sample_weight_scheme,target_used_for_training,n_features
temporal_w50,LGBMRegressor,99,11.297658014886931,14.428232564560634,0.883143622893585,261.0054156177417,2.636418339573148,6.0606060606060606,4.269153780303778,0.0,6.543171834593787,0.0,14.93400612099758,30.0,15.47542330143341,0.0,50,125,none,RUL_capped,119
temporal_w50,LGBMRegressor,99,10.763670516839152,13.999631724879746,0.8899831078851904,350.1859924513356,3.537232246983188,11.11111111111111,3.75796659837224,0.0,6.930889878070408,0.0,16.946396762772263,40.0,13.15123888160969,7.6923076923076925,50,150,none,RUL_capped,119
temporal_w30,LGBMRegressor,99,12.809901011862157,16.517133791119495,0.8468575738424204,397.3150131692883,4.013282961305943,11.11111111111111,4.325693817922822,0.0,8.545873709455318,15.0,16.484271561530896,40.0,17.46316457426085,0.0,30,125,none,RUL_capped,119
temporal_w50,LGBMRegressor,99,15.406920208806321,20.832760446463695,0.7563761568991241,586.6187127835095,5.925441543267773,0.0,4.382779525265587,0.0,7.217168289139582,0.0,10.83379740247403,0.0,27.605389649595953,0.0,50,100,none,RUL_capped,119
temporal_w30,LGBMRegressor,99,15.985340922854753,21.671301003440576,0.736369217659331,655.111790780072,6.617290815960324,1.0101010101010102,3.7776420940090234,0.0,7.978818140827033,5.0,9.788049016438759,0.0,29.52970682915704,0.0,30,100,none,RUL_capped,119
temporal_w30,LGBMRegressor,99,13.039733411614268,17.139779542344474,0.8350939409454509,807.5697143388029,8.15726984180609,14.14141414141414,4.581104355914976,0.0,9.8396093421427,15.0,22.640281335760577,35.0,14.095223258293531,10.256410256410255,30,150,none,RUL_capped,119
temporal_w20,LGBMRegressor,99,14.855675786584946,20.330321395687058,0.7679857612327048,856.8076205996801,8.6546224302998,14.14141414141414,6.5447675295153305,0.0,14.323649718461619,30.0,17.725706860462036,40.0,17.91870309495205,0.0,20,125,none,RUL_capped,119
temporal_w20,LGBMRegressor,99,17.626795326289535,23.706208306620127,0.6845356102734504,971.0324919846103,9.808409009945558,3.0303030303030303,6.391739852863593,0.0,10.412030492260815,15.0,10.56733041066128,0.0,30.70848005607565,0.0,20,100,none,RUL_capped,119
temporal_w20,LGBMRegressor,99,15.559931711269028,21.32506507397583,0.7447258257496229,1479.9196525280006,14.948683358868692,17.17171717171717,6.34414042284434,0.0,15.399113780768422,25.0,24.120033089542975,45.0,15.978653680833828,7.6923076923076925,20,150,none,RUL_capped,119
