dataset,n_cases,urgent_replace,schedule_soon,monitor_close,continue_monitoring,dangerous_cases,conservative_cases,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
FD001,100,22,16,13,49,8,10,10.6730985710386,13.94871384763963,0.8873298725026293,283.8978320725747,2.8389783207257473,8.0
FD002,259,61,37,47,114,13,63,16.61884540940804,25.280092935385433,0.7790290352968239,5349.925447634689,20.656082809400342,5.019305019305019
FD003,100,21,17,16,46,9,6,10.820275273623714,14.555132153165431,0.8763701163002854,394.76291534674993,3.947629153467499,9.0
FD004,248,55,30,39,124,16,66,17.909395215972776,26.071138098834716,0.7713622928981874,4600.217416811195,18.549263777464496,6.451612903225806
