dataset,evaluation_scope,model_name,representation,n,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
FD001,official_test_final_config,candidate_03_B_quantile_a040_search_14,temporal_w50,100,10.6730985710386,13.94871384763963,0.8873298725026293,283.89783207257466,2.8389783207257464,8.0
FD002,official_test_final_config,xgb_condition_fault_sensitive_mid_guard,temporal_w50_condition_fault_sensitive_mid_guard,259,16.61884540940804,25.280092935385436,0.7790290352968239,5349.925447634689,20.656082809400345,5.019305019305019
FD003,official_test_final_config,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,temporal_w50_fault_sensitive,100,10.820275273623713,14.555132153165433,0.8763701163002854,394.76291534675,3.9476291534675,9.0
FD004,official_test_final_config,fd004_xgb_fs_bin_weights_w70,temporal_w70_condition_fault_sensitive,248,17.909395215972776,26.07113809883472,0.7713622928981874,4600.217416811195,18.549263777464496,6.451612903225806
FD003,internal_validation_multisplit,,,500,12.162364718348933,16.397562654351557,0.8506221883314529,2020.911691851847,4.041823383703695,5.0
