dataset,base_variable,physical_symbol,physical_description,engine_area,importance_sum,importance_normalized,rank_in_dataset,n_derived_features
FD003,sensor_6,P15,Total pressure in bypass duct.,bypass,822.0,0.04516483516483517,12,7
FD003,sensor_17,htBleed,Bleed enthalpy.,bleed system,628.0,0.034505494505494505,13,7
FD003,sensor_20,W31,HPT coolant bleed.,HPT cooling/bleed,624.0,0.03428571428571429,14,7
FD003,sensor_8,Nf,Physical fan speed.,fan/spool,617.0,0.0339010989010989,15,7
FD003,sensor_13,NRf,Corrected fan speed.,fan/spool,561.0,0.030824175824175824,16,7
FD003,setting_2,setting_2,Operational setting associated with flight regime.,operating condition,443.0,0.02434065934065934,17,7
FD003,sensor_10,epr,Engine pressure ratio.,global engine pressure,151.0,0.008296703296703296,18,7
FD003,sensor_16,farB,Burner fuel-air ratio.,combustor,57.0,0.0031318681318681318,19,7
FD003,sensor_5,P2,Pressure at fan inlet.,inlet/fan,18.0,0.000989010989010989,20,7
FD004,sensor_11,Ps30,Static pressure at HPC outlet.,HPC,0.2814730196951132,0.2814730472161405,1,25
FD004,sensor_13,NRf,Corrected fan speed.,fan/spool,0.1617185392697138,0.16171855508174562,2,14
FD004,sensor_4,T50,Total temperature at LPT outlet.,turbine/LPT,0.13271906505542574,0.13271907803203367,3,25
FD004,sensor_8,Nf,Physical fan speed.,fan/spool,0.11880979817578918,0.1188098097924184,4,14
FD004,sensor_14,NRc,Corrected core speed.,core spool,0.06971867420361377,0.06971868102035784,5,26
FD004,sensor_9,Nc,Physical core speed.,core spool,0.06183336220419733,0.061833368249954945,6,26
FD004,sensor_17,htBleed,Bleed enthalpy.,bleed system,0.05620756228745449,0.05620756778314946,7,24
FD004,sensor_3,T30,Total temperature at HPC outlet.,HPC,0.023914803232401027,0.023914805570671153,8,24
FD004,sensor_2,T24,Total temperature at LPC outlet.,LPC,0.020995082475110394,0.020995084527904793,9,25
FD004,sensor_15,BPR,Bypass ratio.,bypass/fan,0.018328316061797523,0.01832831785384881,10,25
FD004,sensor_12,phi,Ratio of fuel flow to Ps30.,fuel/HPC interaction,0.014294978980842643,0.014294980378534357,11,24
