variant,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,mean_conservative_error_pct,std_conservative_error_pct,mean_bias_mean,std_bias_mean,mean_abs_error_p90,std_abs_error_p90,mean_abs_error_p95,std_abs_error_p95,worst_rmse,worst_cmapss_score,worst_dangerous_error_pct
global_baseline,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive_global_baseline,pseudo_cluster_baseline,50,125,quantile,0.4,none,fault_sensitive,12.16236471834893,0.5789525555186039,16.367036905847883,1.118125622413591,0.8506221883314528,0.02063806295746567,404.18233837036934,38.602982008255225,5.0,2.6457513110645907,13.6,5.128352561983234,-3.6510998591119352,2.8634124982893634,28.109533893860867,2.1941661871595746,34.68962473131354,3.7829876436809267,17.89616814863213,443.16186218294564,8.0
global_with_cluster_probs,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive_global_with_cluster_probs,pseudo_cluster_prob_features,50,125,quantile,0.4,none,fault_sensitive,12.282009934616164,0.49062543884922827,16.608002355290598,1.197153556072756,0.8461265091428933,0.022159918364392295,426.5839517905853,67.80434545539855,5.4,2.5099800796022267,13.0,4.847679857416329,-3.479559026029855,2.775019433002067,27.600771021969877,4.168918638489796,34.37033144859386,3.615690344785296,18.004097716112362,517.0550243914477,9.0
mixture_of_experts_soft,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive_mixture_of_experts_soft,pseudo_cluster_soft_mixture,50,125,quantile,0.4,none,fault_sensitive,12.468416286245711,1.143260328828611,16.520359544244798,1.8778208965170895,0.8468093063740904,0.034482934249558145,462.56231753844185,183.25533568272826,6.4,3.0495901363953815,13.6,5.9833101206606365,-2.9199229634172155,2.8805681981457636,27.465150526297293,1.2238272210694394,32.984912687788935,3.3060157080513535,18.914138641763675,739.8220457138517,10.0
