n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns,config_index,hyperparameter_search_label,colsample_bytree,learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
100,20,12.87419138699487,18.3531427472456,0.8128678618329035,452.7503156159652,4.527503156159652,1.0,21.0,-7.943363588732216,34.02247986816056,38.718602909813,fd003_lgbm_refinement_search_03,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",3,search_03,1.0,0.03,-1,10,1300,31,0.5,10.0,1.0
100,20,11.79305304275844,15.289978282639634,0.8701203133980047,406.05347943984094,4.06053479439841,9.0,6.0,-0.28023163615574026,23.637247888120612,34.11480290166919,fd003_lgbm_refinement_search_03,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",3,search_03,1.0,0.03,-1,10,1300,31,0.5,10.0,1.0
100,20,12.738418625937648,17.26819921151891,0.8343384977729432,432.1853684613877,4.3218536846138775,5.0,14.000000000000002,-4.434318052715581,30.919387899415888,35.67936130340101,fd003_lgbm_refinement_search_03,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",3,search_03,1.0,0.03,-1,10,1300,31,0.5,10.0,1.0
100,20,11.747589057510497,14.951260632471408,0.875811003055506,321.0120205025305,3.210120205025305,7.000000000000001,11.0,-0.608316214637459,26.143931274101767,30.279987729874964,fd003_lgbm_refinement_search_03,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",3,search_03,1.0,0.03,-1,10,1300,31,0.5,10.0,1.0
100,20,11.786293679399176,16.029525199137616,0.8572524010501179,410.96837355139763,4.109683735513976,6.0,12.0,-2.5545078058722606,26.542591589762058,36.32381059338155,fd003_lgbm_refinement_search_03,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",3,search_03,1.0,0.03,-1,10,1300,31,0.5,10.0,1.0
100,20,12.875860605838904,17.942274355692916,0.8211526616361358,431.8158531741412,4.318158531741412,1.0,21.0,-7.455843911791853,32.25173280944581,38.368857936969775,fd003_lgbm_refinement_search_04,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,0,193,"setting_3,sensor_1,sensor_18,sensor_19",4,search_04,1.0,0.03,-1,20,1300,31,0.0,10.0,1.0
100,20,11.508454357437477,15.16036615846872,0.8723129433006425,393.08940104217754,3.9308940104217753,8.0,6.0,-0.7155438917492936,24.000671668004344,32.72402051091113,fd003_lgbm_refinement_search_04,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,1,193,"setting_3,sensor_1,sensor_18,sensor_19",4,search_04,1.0,0.03,-1,20,1300,31,0.0,10.0,1.0
100,20,12.759908189449439,17.55666958586259,0.8287574183626931,494.8939053767895,4.948939053767895,5.0,16.0,-4.313734996158352,28.600445173162598,35.210157098471335,fd003_lgbm_refinement_search_04,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,2,193,"setting_3,sensor_1,sensor_18,sensor_19",4,search_04,1.0,0.03,-1,20,1300,31,0.0,10.0,1.0
100,20,11.748592066699281,15.166322797821742,0.8722125848845959,330.5515439003482,3.3055154390034818,7.000000000000001,11.0,-1.2724759228861684,26.970932501864944,30.938955122143867,fd003_lgbm_refinement_search_04,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,3,193,"setting_3,sensor_1,sensor_18,sensor_19",4,search_04,1.0,0.03,-1,20,1300,31,0.0,10.0,1.0
100,20,11.964703686804535,16.17895845972902,0.854578501754646,482.86601683053175,4.828660168305317,6.0,12.0,-2.570122857837266,26.366115371322678,35.46135818614179,fd003_lgbm_refinement_search_04,lgbm_hyperparam_refinement,50,125,quantile,0.4,none,fault_sensitive,4,193,"setting_3,sensor_1,sensor_18,sensor_19",4,search_04,1.0,0.03,-1,20,1300,31,0.0,10.0,1.0
