n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95,model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,random_state,n_features,dropped_columns
100,20,15.112018594907108,19.790405605138403,0.7824110255467258,559.1293936483978,5.591293936483978,7.000000000000001,25.0,-8.610463618814055,32.80919737289452,41.5722440514649,fd003_lgbm_w30_cap125_quantile_a04_none,short_tuning,30,125,quantile,0.4,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.04483345990716,16.96954017430179,0.840019281262643,586.0136765263957,5.860136765263957,13.0,8.0,0.573907259155991,29.125446816474927,38.73760755877248,fd003_lgbm_w30_cap125_quantile_a04_none,short_tuning,30,125,quantile,0.4,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.471134218023362,18.24537674287129,0.8150590152837174,573.0605458114346,5.730605458114346,6.0,18.0,-4.998327259067088,29.393784208863476,38.26146877530356,fd003_lgbm_w30_cap125_quantile_a04_none,short_tuning,30,125,quantile,0.4,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.17313022090439,15.139264810309097,0.8726681450018537,344.7299667926965,3.4472996679269645,6.0,10.0,-2.1250782573706233,27.321173972418368,30.59890835557065,fd003_lgbm_w30_cap125_quantile_a04_none,short_tuning,30,125,quantile,0.4,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.460064061067683,18.072199842203165,0.8185531071463732,553.8826930080164,5.538826930080164,9.0,15.0,-3.5328242279733235,29.147538541719836,37.01418206134562,fd003_lgbm_w30_cap125_quantile_a04_none,short_tuning,30,125,quantile,0.4,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,14.562844243857771,19.047046701437015,0.7984500066407096,487.8736983721417,4.878736983721417,3.0,25.0,-8.86419154224532,30.50695017884006,40.103545918051466,fd003_lgbm_w30_cap125_quantile_a04_low_rul_weight,short_tuning,30,125,quantile,0.4,low_rul_weight,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.951925283628205,16.997004055321064,0.8395010295241108,607.3694298578496,6.073694298578496,12.0,9.0,0.4560400543213036,27.564819812570438,35.564068888404094,fd003_lgbm_w30_cap125_quantile_a04_low_rul_weight,short_tuning,30,125,quantile,0.4,low_rul_weight,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.786925688132937,18.3506945623122,0.8129177828226253,512.3617822932537,5.123617822932537,4.0,18.0,-6.018873221506177,30.685259462405416,38.5774241260166,fd003_lgbm_w30_cap125_quantile_a04_low_rul_weight,short_tuning,30,125,quantile,0.4,low_rul_weight,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.513068358225372,15.82589820443671,0.8608560811237816,371.55571720833524,3.7155571720833525,3.0,10.0,-3.3462459530999222,27.29836505826909,31.403863951222917,fd003_lgbm_w30_cap125_quantile_a04_low_rul_weight,short_tuning,30,125,quantile,0.4,low_rul_weight,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.480839404923397,18.28849494013422,0.8141838626803806,582.6389853162094,5.826389853162095,8.0,16.0,-4.217870464397291,32.46266039339991,38.641532182358354,fd003_lgbm_w30_cap125_quantile_a04_low_rul_weight,short_tuning,30,125,quantile,0.4,low_rul_weight,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,14.367071475134106,18.869623772597745,0.8021873881558967,501.9820374718733,5.019820374718733,8.0,20.0,-6.664774470185835,29.195588088575242,40.202040298351896,fd003_lgbm_w30_cap125_regression_none,short_tuning,30,125,regression,,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.641821682686887,17.511420874519214,0.8296389660863627,702.3657283552932,7.023657283552932,12.0,10.0,1.4482517718499093,29.17944227214481,37.271275351745786,fd003_lgbm_w30_cap125_regression_none,short_tuning,30,125,regression,,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.85993791739463,18.766280517868406,0.8043481752914848,568.4283785110391,5.684283785110392,11.0,17.0,-3.3560504001282583,30.57938466767886,37.068446967266446,fd003_lgbm_w30_cap125_regression_none,short_tuning,30,125,regression,,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.209857554316677,14.89353455471326,0.8767681269264234,314.18504489176297,3.1418504489176295,7.000000000000001,11.0,-1.2882652987382222,25.56105588444685,31.154850763984104,fd003_lgbm_w30_cap125_regression_none,short_tuning,30,125,regression,,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.089771957494033,17.7557485896059,0.82485188445706,562.4417184656456,5.624417184656457,7.000000000000001,13.0,-3.000341880296542,28.744212635782105,39.79196170877028,fd003_lgbm_w30_cap125_regression_none,short_tuning,30,125,regression,,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.656874852111082,18.10147992659292,0.8179646802595297,451.73709580503885,4.517370958050389,3.0,20.0,-7.6536087370408135,32.53935122737811,36.97592176562854,fd003_lgbm_w50_cap125_quantile_a04_none,short_tuning,50,125,quantile,0.4,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.493398665549707,15.129415529501317,0.872833769853158,392.595978878315,3.92595978878315,9.0,7.000000000000001,-0.6544524865463014,24.065973508626787,29.988323711366466,fd003_lgbm_w50_cap125_quantile_a04_none,short_tuning,50,125,quantile,0.4,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.95367526852814,18.18357189811067,0.8163098405701333,555.0495306039678,5.550495306039678,5.0,17.0,-4.827352379731332,30.555639948076546,36.12243081906762,fd003_lgbm_w50_cap125_quantile_a04_none,short_tuning,50,125,quantile,0.4,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.863795203716,15.192228684240224,0.8717756597809714,332.7034039011109,3.327034039011109,6.0,10.0,-1.6441342997625594,21.94648773789551,30.20912068158958,fd003_lgbm_w50_cap125_quantile_a04_none,short_tuning,50,125,quantile,0.4,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.431410630149902,15.636422308890468,0.8641679429877959,390.0650601140821,3.900650601140821,5.0,13.0,-3.185925583423647,26.65508079972982,33.36496226516957,fd003_lgbm_w50_cap125_quantile_a04_none,short_tuning,50,125,quantile,0.4,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.018956696695112,18.265591114674866,0.8146489895730614,453.9626811327116,4.539626811327116,2.0,24.0,-8.127261067044225,30.331016988800684,39.604419719096555,fd003_lgbm_w50_cap125_quantile_a04_low_rul_weight,short_tuning,50,125,quantile,0.4,low_rul_weight,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.317908284189256,15.431077711789635,0.8677121336959496,411.8667859503701,4.118667859503701,10.0,8.0,-1.0407563053276356,26.177916785875144,34.19443161612526,fd003_lgbm_w50_cap125_quantile_a04_low_rul_weight,short_tuning,50,125,quantile,0.4,low_rul_weight,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.032950289076489,18.013155846147576,0.8197367869235552,586.0996654586285,5.860996654586285,4.0,16.0,-5.137452374117735,27.8376934836935,36.09880995586712,fd003_lgbm_w50_cap125_quantile_a04_low_rul_weight,short_tuning,50,125,quantile,0.4,low_rul_weight,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.628294549560383,14.858150110317736,0.8773529862773695,299.9233672786419,2.999233672786419,8.0,10.0,-1.586405721291044,24.268616573760827,28.368693032570203,fd003_lgbm_w50_cap125_quantile_a04_low_rul_weight,short_tuning,50,125,quantile,0.4,low_rul_weight,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.09588228833011,16.741819443494286,0.8442841565119092,430.6470849258616,4.3064708492586155,4.0,13.0,-4.129713553630611,28.49954577084394,34.12902532336854,fd003_lgbm_w50_cap125_quantile_a04_low_rul_weight,short_tuning,50,125,quantile,0.4,low_rul_weight,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.319381971119919,17.827816501394206,0.8234271993292314,419.6460426592181,4.196460426592181,2.0,19.0,-6.368098530938924,28.64318478109531,38.97023777931034,fd003_lgbm_w50_cap125_regression_none,short_tuning,50,125,regression,,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.723469893092924,15.408287134291676,0.8681026042151231,395.47174807207114,3.9547174807207113,10.0,10.0,-0.31995001514170057,29.30312354594156,32.6072847971694,fd003_lgbm_w50_cap125_regression_none,short_tuning,50,125,regression,,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.297276611105206,18.41559339856053,0.811592177654941,755.5832055985936,7.555832055985936,5.0,18.0,-3.3411221476551933,28.81202017578245,35.78469330092936,fd003_lgbm_w50_cap125_regression_none,short_tuning,50,125,regression,,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,10.967586272074692,14.664179519870897,0.8805343550049994,335.49973738652744,3.3549973738652743,7.000000000000001,9.0,-0.1549992035292228,25.124656635740617,30.79200834700046,fd003_lgbm_w50_cap125_regression_none,short_tuning,50,125,regression,,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.135803142207822,16.388728982561553,0.8507830901867484,491.6116696476062,4.916116696476062,7.000000000000001,12.0,-1.2714716592417732,27.930723177590107,34.13164433771631,fd003_lgbm_w50_cap125_regression_none,short_tuning,50,125,regression,,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.37812715670011,18.054129481321926,0.8189157825953681,437.34068188612747,4.373406818861275,1.0,22.0,-8.131147783892896,30.421506833586044,40.604840700495785,fd003_lgbm_w70_cap125_quantile_a04_none,short_tuning,70,125,quantile,0.4,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.140320425400423,15.48164009601648,0.8668437888541194,429.5450441629145,4.2954504416291455,7.000000000000001,8.0,-0.9439693668079753,25.77345396036872,28.907641314512084,fd003_lgbm_w70_cap125_quantile_a04_none,short_tuning,70,125,quantile,0.4,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.141944004286474,17.665077357952267,0.8266361344097568,495.5183536780916,4.9551835367809165,4.0,17.0,-5.137101087216756,26.284073482814705,38.07915587597981,fd003_lgbm_w70_cap125_quantile_a04_none,short_tuning,70,125,quantile,0.4,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.20413189401969,16.18978553531751,0.8543838024002355,424.58813584159145,4.2458813584159145,8.0,12.0,-2.954175248891464,25.38794865235612,31.776329430868824,fd003_lgbm_w70_cap125_quantile_a04_none,short_tuning,70,125,quantile,0.4,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.110761859429482,16.999866768293085,0.8394469610334914,462.3879864416585,4.623879864416585,8.0,15.0,-2.6100145980211193,28.86205316969202,35.22806486688459,fd003_lgbm_w70_cap125_quantile_a04_none,short_tuning,70,125,quantile,0.4,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.03130554854406,17.793540982468105,0.8241054996140155,413.5937062045278,4.135937062045278,1.0,22.0,-8.735686306922576,33.857099788529815,40.50922015561168,fd003_lgbm_w70_cap125_quantile_a04_low_rul_weight,short_tuning,70,125,quantile,0.4,low_rul_weight,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.636016271912734,15.158647122520739,0.8723418985638298,398.92999750215785,3.9892999750215785,6.0,10.0,-1.1813562628379268,24.03646408104784,32.18984675535993,fd003_lgbm_w70_cap125_quantile_a04_low_rul_weight,short_tuning,70,125,quantile,0.4,low_rul_weight,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.77775910281207,19.15415956580384,0.7961767618487362,757.0180185612469,7.570180185612469,6.0,18.0,-5.322665706004588,28.155988684171497,40.582603547832356,fd003_lgbm_w70_cap125_quantile_a04_low_rul_weight,short_tuning,70,125,quantile,0.4,low_rul_weight,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.527640606227516,16.879166838322327,0.8417187371355999,444.0365390904156,4.440365390904156,7.000000000000001,14.000000000000002,-3.730542301033562,28.08677165487004,36.51006471510214,fd003_lgbm_w70_cap125_quantile_a04_low_rul_weight,short_tuning,70,125,quantile,0.4,low_rul_weight,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.178052877147245,17.58748243849839,0.8281558119308392,475.9513497001535,4.759513497001535,8.0,16.0,-3.7755938264445006,30.01808829924537,36.58065368023828,fd003_lgbm_w70_cap125_quantile_a04_low_rul_weight,short_tuning,70,125,quantile,0.4,low_rul_weight,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.63081005740308,17.104661018883363,0.8374614285717177,396.1684095578762,3.961684095578762,1.0,19.0,-6.857101356428335,28.080635108400866,36.36375218980159,fd003_lgbm_w70_cap125_regression_none,short_tuning,70,125,regression,,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.514794811240403,15.027677370248712,0.8745382849198415,405.5312592582101,4.055312592582101,10.0,8.0,0.5553572934553582,23.73717385315171,28.37268641540424,fd003_lgbm_w70_cap125_regression_none,short_tuning,70,125,regression,,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,13.599044775648117,18.895960848525416,0.8016348131172193,836.2498555376926,8.362498555376925,7.000000000000001,16.0,-3.6254512001504167,27.523384247728437,34.65837789742045,fd003_lgbm_w70_cap125_regression_none,short_tuning,70,125,regression,,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,11.794939919107588,15.692559537300086,0.8631908750934956,358.04302097596945,3.5804302097596947,8.0,11.0,-1.6695802279004663,25.45946264284394,31.65232875394779,fd003_lgbm_w70_cap125_regression_none,short_tuning,70,125,regression,,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,12.665729567883577,16.940994218770374,0.8405570638219937,473.1598360711136,4.731598360711136,8.0,15.0,-2.8482173937958812,27.33957868302734,36.19302590776082,fd003_lgbm_w70_cap125_regression_none,short_tuning,70,125,regression,,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,16.59763353757076,23.393342152674144,0.6959730794043995,818.7176885927909,8.187176885927908,0.0,30.0,-13.696566020590895,42.872149775908504,47.206508771487194,fd003_lgbm_w50_cap100_quantile_a04_none,short_tuning,50,100,quantile,0.4,none,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.827154257145978,21.42189838571706,0.7450568164177849,633.7943303156499,6.337943303156498,3.0,23.0,-8.887639893835503,40.206052195206844,40.637730933945875,fd003_lgbm_w50_cap100_quantile_a04_none,short_tuning,50,100,quantile,0.4,none,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,40.0,46.9041575982343,-0.22222222222222232,63112.19728271455,631.1219728271456,40.0,20.0,20.0,80.0,80.0,fd003_lgbm_w50_cap100_quantile_a04_none,short_tuning,50,100,quantile,0.4,none,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.424059437067136,21.158479831182564,0.7512881840185781,629.7153815189554,6.297153815189554,2.0,24.0,-9.757673495748241,40.03602490441098,40.492123306292584,fd003_lgbm_w50_cap100_quantile_a04_none,short_tuning,50,100,quantile,0.4,none,base,3,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.561766802858708,21.63354173399581,0.7399943733574788,653.1690860020177,6.531690860020177,2.0,26.0,-10.424496872957947,40.172444348834,42.458014941054905,fd003_lgbm_w50_cap100_quantile_a04_none,short_tuning,50,100,quantile,0.4,none,base,4,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,17.111590462119906,23.36725519921514,0.6966507691415295,804.7622315069078,8.047622315069079,0.0,30.0,-13.778450029311351,45.43574391589583,47.320545385554915,fd003_lgbm_w50_cap100_quantile_a04_low_rul_weight,short_tuning,50,100,quantile,0.4,low_rul_weight,base,0,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,15.62593764932132,21.194722408554526,0.7504354122357315,608.4227445467284,6.084227445467284,3.0,24.0,-9.316121331378419,40.09550210439996,40.82261706577066,fd003_lgbm_w50_cap100_quantile_a04_low_rul_weight,short_tuning,50,100,quantile,0.4,low_rul_weight,base,1,140,"setting_3,sensor_1,sensor_18,sensor_19"
100,20,17.14713816848184,23.38497779606862,0.6961904519318765,932.978478850871,9.32978478850871,1.0,27.0,-11.525758408068409,40.85116302366646,42.79628342444954,fd003_lgbm_w50_cap100_quantile_a04_low_rul_weight,short_tuning,50,100,quantile,0.4,low_rul_weight,base,2,140,"setting_3,sensor_1,sensor_18,sensor_19"
