dataset,evaluation_scope,representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,n_predictions,n_units,cmapss_total_all_predictions,cmapss_mean_penalty,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95
FD001,official_test_final_config,temporal_w50,candidate_03_B_quantile_a040_search_14,90+,48.0,12.941021314483953,15.635574946073133,-0.0283169793800426,135.5885506137039,2.824761471118831,4.166666666666666,,,,,,,,
FD001,official_test_final_config,temporal_w50,candidate_03_B_quantile_a040_search_14,60-90,13.0,18.423781910404355,21.26704152997365,-6.0774548489776326,115.46820830166246,8.88216986935865,38.46153846153847,,,,,,,,
FD001,official_test_final_config,temporal_w50,candidate_03_B_quantile_a040_search_14,30-60,14.0,8.098842439691676,9.383909526077897,-0.3745874933695952,20.158066158823274,1.4398618684873767,7.142857142857142,,,,,,,,
FD001,official_test_final_config,temporal_w50,candidate_03_B_quantile_a040_search_14,0-30,25.0,3.729915000707607,4.937625667499218,0.5420846249484033,12.68300699838513,0.5073202799354052,0.0,,,,,,,,
FD002,official_test_final_config,temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,0-30,60.0,2.820422379175822,3.6741320956983863,0.4986041850944279,19.228097239957293,0.3204682873326215,0.0,,,,,,,,
FD002,official_test_final_config,temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,60-90,46.0,14.12467624830163,17.659349268802053,-4.080964763425761,312.1942936011769,6.786832469590803,17.391304347826086,,,,,,,,
FD002,official_test_final_config,temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,90+,111.0,28.57827700365771,36.29349588334355,-0.415388431452611,4948.820139330649,44.58396521919504,2.702702702702702,,,,,,,,
FD002,official_test_final_config,temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,30-60,42.0,7.455518177577427,9.947680766720904,-0.474913867538723,69.68291746290556,1.6591170824501325,4.761904761904762,,,,,,,,
FD003,official_test_final_config,temporal_w50_fault_sensitive,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,30-60,21.0,11.5122714234703,15.737545091648167,-3.0551946814673565,150.25413261710793,7.154958696052758,9.523809523809524,,,,,,,,
FD003,official_test_final_config,temporal_w50_fault_sensitive,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,0-30,20.0,2.51408252074434,3.262392330628044,0.8094238109326168,5.441238384072409,0.2720619192036204,0.0,,,,,,,,
FD003,official_test_final_config,temporal_w50_fault_sensitive,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,90+,37.0,12.854082003967624,15.576487723201978,-0.0859466228698777,113.29889560123924,3.0621323135470067,0.0,,,,,,,,
FD003,official_test_final_config,temporal_w50_fault_sensitive,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,60-90,22.0,14.290324677627552,17.57328603722922,-2.980216359779441,125.76864874433046,5.7167567611059305,31.818181818181817,,,,,,,,
FD004,official_test_final_config,temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,0-30,52.0,3.891329352672284,5.376699217492985,0.1422276649937598,29.80235296803283,0.5731221724621698,0.0,,,,,,,,
FD004,official_test_final_config,temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,30-60,38.0,8.608546156632272,11.805207912404027,-0.6623031074148169,135.870682548276,3.5755442775862103,7.894736842105263,,,,,,,,
FD004,official_test_final_config,temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,90+,117.0,28.18320090139014,35.344966227817046,-0.4248800604847604,3992.3961698435096,34.12304418669666,2.564102564102564,,,,,,,,
FD004,official_test_final_config,temporal_w70_condition_fault_sensitive,fd004_xgb_fs_bin_weights_w70,60-90,41.0,14.990771409941882,19.508223003452944,-4.749226733548443,442.14821145137614,10.784102718326247,24.390243902439025,,,,,,,,
FD003,internal_validation_multisplit,,,0-30,,3.2537932086770995,4.264005488491562,,,,0.0,100.0,71.0,39.21124504535388,0.3921124504535387,0.0,0.2538942661327177,6.5373637154062285,8.951729079286048
FD003,internal_validation_multisplit,,,31-60,,8.094769038857756,11.183978481932492,,,,6.0,100.0,71.0,274.9933272727508,2.749933272727508,0.0,3.1036716113260097,18.532236003330745,21.9981219335536
FD003,internal_validation_multisplit,,,61-100,,13.682578418551373,16.685524977223487,,,,19.0,100.0,71.0,542.0432844375824,5.420432844375824,3.0,6.083655198282624,27.997957162115803,32.6098093021347
FD003,internal_validation_multisplit,,,101+,,17.890341462829216,21.47941390914985,,,,0.0,200.0,71.0,1164.6638350961598,5.823319175480799,32.5,-13.848360185650517,36.137950807516965,41.12726470424224
