representation,model_name,n_features,target_used_for_training,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
current_cycle,RandomForestRegressor,17,RUL_capped,99,16.66938167465469,21.535607020191772,0.7396603089515789,1386.5004354157672,14.005054903189569,16.161616161616163
current_cycle,MLP,17,RUL_capped,99,16.389131179963698,22.074671149320945,0.7264639098887261,1500.262155976878,15.154163191685635,16.161616161616163
current_cycle,Ridge,17,RUL_capped,99,19.620434851359796,24.014161664490352,0.676286352098879,1167.119272494262,11.789083560548102,24.242424242424242
current_cycle,DummyRegressor,17,RUL_capped,99,37.23368886010031,42.87981196881868,-0.03212404170622474,18169.63878888446,183.53170493822685,40.4040404040404
