dataset,selected_candidate,candidate_family,base_model,temporal_window,RUL_cap,quantile_alpha,condition_sensitive,fault_sensitive,calibration_or_inference_method,MAE,RMSE,R2,bias,CMAPSS_total,CMAPSS_mean,dangerous_any,dangerous_10,dangerous_20,conservative_rate,MAE_RUL_le_50,MAE_RUL_50_75,MAE_RUL_75_100,MAE_RUL_100_125,MAE_RUL_gt_125,pred_min,pred_max,true_RUL_max,n_eval_points,n_unique_units,adopted_flag,adoption_reason,uses_final_test,no_future_prefixes_used
FD001,candidate_03_B_quantile_a040_search_14,LightGBM quantile,candidate_03_B_quantile_a040_search_14,50,125,0.4,False,False,frozen previous LightGBM quantile candidate,11.657473367895062,15.089126710123164,0.8718712953704661,-3.1393162390023797,1537.223241582236,3.093004510225827,5.030181086519114,,,14.88933601609658,5.966866593931929,,14.293503849081679,,16.083347163280433,,,140.0,497,100,True,FD001 remains frozen: robust LightGBM quantile alpha 0.40 candidate selected before multi-prefix experiments.,False,
FD002,eol_mean,XGBoost + multi-prefix inference,xgb_condition_fault_sensitive_mid_guard,50,125,,True,True,multi-prefix EOL smoothing using mean estimated failure cycle,11.558306965963476,15.187728793628033,0.8708348035053399,-8.527632736112414,714.505714536291,2.769401994326709,29.069767441860467,5.038759689922481,0.3875968992248062,70.93023255813954,6.7987316409746805,,8.895198112879042,12.870640974778397,22.86302947998047,0.0,140.5341339111328,140.0,258,52,True,"Adopted: eol_mean is the best CMAPSS candidate and improves dangerous_20, RMSE, and low-RUL MAE without future-prefix leakage.",False,True
FD003,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,LightGBM quantile,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,50,125,0.4,False,True,offset 0 retained after offset calibration probe,12.162364718348933,16.397562654351557,0.8506221883314529,-3.6510998591119352,2020.9116918518464,4.041823383703694,44.8,16.2,5.0,55.2,5.674281123767428,8.094769038857756,13.682578418551373,12.043987136931158,23.73669578872728,,127.32345061384008,140.0,500,100,True,Offsets +1 to +4 reduced RMSE slightly but worsened CMAPSS_mean and dangerous late errors; offset 0 retained.,False,
FD004,eol_mean_guard_b60_only_if_lower_floor2,XGBoost + multi-prefix inference with late-stage guard,fd004_xgb_fs_bin_weights_w70,70,125,,True,True,multi-prefix eol_mean with b60 only-if-lower floor2 late-stage guard,11.708184046279316,15.778468168229685,0.8611266528143982,-8.503772634355578,2287.198262116578,3.0618450630744016,27.17536813922356,4.551539491298527,0.4016064257028112,72.82463186077644,5.862810381253561,,9.958567797342935,13.725984128316243,23.36386108398437,9.207475662231444,134.1786651611328,140.0,747,132,True,Adopted: selected guard satisfies acceptance constraints with best CMAPSS priority.,False,True
