dataset,candidate_name,model_type,calibration_type,config_file,notebook_file,predictions_file,metrics_file,MAE,RMSE,R2,CMAPSS_mean,CMAPSS_total,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,conservative_pct,bias,MAE_RUL_le_50,MAE_RUL_gt_125,score_share_RUL_gt_125,selected_final_candidate,reason_selected,n_motors,pred_max,true_RUL_max,threshold,offset,base_candidate,previous_final_model,changed_vs_previous
FD001,candidate_03_B_quantile_a040_search_14,LightGBM,frozen_no_new_experiment,configs/FD001/fd001_best_model_config.json,notebooks/conclusion/01_conclusion_final.ipynb,results/FD001/fd001_lgbm_final_candidate_robustness.csv,results/FD001/fd001_lgbm_final_candidate_robustness_summary.csv,,,,,,,,,,,,,,True,FD001 frozen by request; no calibration experiment run.,,,,,,,,
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,xgboost,none,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_best_validation_predictions.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,12.700926396273829,16.22934653037001,0.8525102263487467,3.8096623670854246,982.8928907080395,53.100775193798455,24.418604651162788,9.689922480620156,46.89922480620155,-0.9802630742390952,8.062047719955444,22.86302947998047,0.3860038207573263,False,,258.0,140.5341339111328,140.0,,,,xgb_condition_fault_sensitive_mid_guard,False
FD003,fd003_offset_plus_0,LightGBM,global_offset_plus_0,configs/FD003/fd003_small_offset_calibration_v01.yaml,notebooks/FD003/26_fd003_small_bias_calibration_v01.ipynb,results/FD003/fd003_predictions_calibrated_v01.csv,results/FD003/fd003_small_offset_calibration_results_v01.csv,12.162364718348933,16.397562654351557,0.8506221883314529,4.041823383703694,2020.9116918518464,44.8,16.2,5.0,55.2,-3.6510998591119352,5.674281123767428,23.73669578872728,0.4155606213569872,False,,500.0,127.32345061384008,140.0,,0.0,,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,False
FD004,fd004_high_rul_thr120_off2,xgboost,piecewise_high_rul_threshold_120_offset_2,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,12.631534972184474,16.891316496585237,0.8408464881527902,4.953145106855,3699.9993948206848,44.84605087014726,17.13520749665328,6.693440428380187,55.15394912985274,-2.9642988074735466,7.790620536804199,23.36386108398437,0.3190095026806205,False,,747.0,134.1786651611328,140.0,120.0,2.0,,fd004_xgb_fs_bin_weights_w70,True
