representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
current_cycle,DummyRegressor,0-30,20,66.95881891190147,66.95881891190146,0.0,16161.342577148976,808.0671288574488,100.0
current_cycle,DummyRegressor,30-60,20,36.958818911901474,36.95881891190146,0.0,785.6216091723443,39.28108045861721,100.0
current_cycle,DummyRegressor,60-90,20,6.95881891190146,6.95881891190146,0.0,20.109538134492063,1.0054769067246032,0.0
current_cycle,DummyRegressor,90+,39,37.656565703483146,40.532320579836785,-6.306443762056464,1202.5650644286443,30.83500165201652,0.0
current_cycle,Ridge,0-30,20,16.933904751709793,20.18712326712935,0.0,168.42922278548414,8.421461139274207,45.0
current_cycle,Ridge,30-60,20,19.757543926651163,23.05641856074838,0.0,254.16187479718218,12.708093739859109,50.0
current_cycle,Ridge,60-90,20,14.490160412546032,18.291396923551282,0.0,168.33616786624248,8.416808393312124,25.0
current_cycle,Ridge,90+,39,23.558740217089234,28.47285905283763,-2.6054980459638433,576.1920070453532,14.774154026803927,0.0
current_cycle,RandomForestRegressor,0-30,20,7.899243083103346,9.553293699316457,0.0,31.261241604832723,1.5630620802416362,5.0
current_cycle,RandomForestRegressor,30-60,20,19.23216878203047,26.532766369265513,0.0,868.2653764498011,43.41326882249005,35.0
current_cycle,RandomForestRegressor,60-90,20,17.554393512948316,20.553870097151176,0.0,180.68772653365923,9.034386326682961,40.0
current_cycle,RandomForestRegressor,90+,39,19.39878662126082,23.512223143830226,-1.4586148337086824,306.28609082747437,7.853489508396779,0.0
current_cycle,MLP,0-30,20,5.978268432617187,8.235149012949918,0.0,23.91582377686897,1.1957911888434485,5.0
current_cycle,MLP,30-60,20,20.048648643493653,26.9727325455667,0.0,842.5232554455895,42.12616277227947,30.0
current_cycle,MLP,60-90,20,18.84151954650879,22.62737226270458,0.0,223.89295010959526,11.194647505479763,45.0
current_cycle,MLP,90+,39,18.59372447087215,23.802036334783647,-1.5195984682189208,409.93012664482444,10.511028888328832,0.0
temporal_w30,Ridge,90+,39,22.266578055064763,27.62308108200403,-2.3934960218484678,470.18433510192045,12.056008592356935,0.0
temporal_w30,Ridge,60-90,20,15.177199010833643,19.512920110264336,0.0,202.73735193302338,10.136867596651168,30.0
temporal_w30,Ridge,30-60,20,19.078487493850417,22.834680044407808,0.0,300.637103404008,15.031855170200398,40.0
temporal_w30,Ridge,0-30,20,13.49860033307281,16.088913734765423,0.0,99.77628188714715,4.988814094357357,15.0
temporal_w30,RandomForestRegressor,90+,39,16.85452659517157,19.846652924024852,-0.7517723120119215,165.4621534559805,4.242619319384116,0.0
temporal_w30,RandomForestRegressor,60-90,20,19.480671038742955,22.7278591072228,0.0,231.90888920268233,11.595444460134116,50.0
temporal_w30,RandomForestRegressor,30-60,20,12.36521911681687,16.91243169807424,0.0,174.62079576002702,8.73103978800135,20.0
temporal_w30,RandomForestRegressor,0-30,20,3.6836192718895644,4.18318131673826,0.0,8.942006839810078,0.4471003419905039,0.0
temporal_w30,MLP,90+,39,17.7767828916892,21.05151266956763,-0.9709232994580881,196.0939431553693,5.028049824496648,0.0
temporal_w30,MLP,60-90,20,19.431125259399415,23.078791948584183,0.0,284.30466052328325,14.215233026164162,55.00000000000001
temporal_w30,MLP,30-60,20,13.102542877197266,17.721012742044326,0.0,142.44782045167142,7.122391022583571,20.0
temporal_w30,MLP,0-30,20,3.642363357543945,5.147424897516681,0.0,10.74195172638378,0.537097586319189,0.0
