dataset,selected_candidate,candidate_family,base_model,calibration_or_inference_method,CMAPSS_mean,RMSE,dangerous_20,bias,adopted_flag,adoption_reason
FD001,candidate_03_B_quantile_a040_search_14,LightGBM quantile,candidate_03_B_quantile_a040_search_14,frozen previous LightGBM quantile candidate,3.093004510225827,15.089126710123164,,-3.1393162390023797,True,FD001 remains frozen: robust LightGBM quantile alpha 0.40 candidate selected before multi-prefix experiments.
FD002,eol_mean,XGBoost + multi-prefix inference,xgb_condition_fault_sensitive_mid_guard,multi-prefix EOL smoothing using mean estimated failure cycle,2.769401994326709,15.187728793628033,0.3875968992248062,-8.527632736112414,True,"Adopted: eol_mean is the best CMAPSS candidate and improves dangerous_20, RMSE, and low-RUL MAE without future-prefix leakage."
FD003,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,LightGBM quantile,fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,offset 0 retained after offset calibration probe,4.041823383703694,16.397562654351557,5.0,-3.6510998591119352,True,Offsets +1 to +4 reduced RMSE slightly but worsened CMAPSS_mean and dangerous late errors; offset 0 retained.
FD004,eol_mean_guard_b60_only_if_lower_floor2,XGBoost + multi-prefix inference with late-stage guard,fd004_xgb_fs_bin_weights_w70,multi-prefix eol_mean with b60 only-if-lower floor2 late-stage guard,3.0618450630744016,15.778468168229685,0.4016064257028112,-8.503772634355578,True,Adopted: selected guard satisfies acceptance constraints with best CMAPSS priority.
