dataset,recommended_final_model_after_calibration,changed_vs_previous,selected_final_candidate,reason_selected,config_file,predictions_file,metrics_file,CMAPSS_mean,RMSE,dangerous_20_pct,bias
FD001,candidate_03_B_quantile_a040_search_14,True,True,FD001 frozen by request; no calibration experiment run.,configs/FD001/fd001_best_model_config.json,results/FD001/fd001_lgbm_final_candidate_robustness.csv,results/FD001/fd001_lgbm_final_candidate_robustness_summary.csv,,,,
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,False,False,,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,results/FD002/fd002_best_validation_predictions.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,3.8096623670854246,16.22934653037001,9.689922480620156,-0.9802630742390952
FD003,fd003_offset_plus_0,False,False,,configs/FD003/fd003_small_offset_calibration_v01.yaml,results/FD003/fd003_predictions_calibrated_v01.csv,results/FD003/fd003_small_offset_calibration_results_v01.csv,4.041823383703694,16.397562654351557,5.0,-3.6510998591119352
FD004,fd004_high_rul_thr120_off2,True,False,,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,4.953145106855,16.891316496585237,6.693440428380187,-2.9642988074735466
