dataset,candidate_name,rul_bin,n_eval_points,n_unique_units,MAE,RMSE,CMAPSS_total,CMAPSS_mean,CMAPSS_share,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,bias
FD004,baseline,0-50,300,132,7.790620536804199,11.380447857260837,1150.2177450705121,3.8340591502350403,0.3108697116763328,55.666666666666664,18.0,6.333333333333334,2.9244331232706706
FD004,baseline,75-100,150,132,14.704131126403809,18.56701276157994,1044.820314411691,6.965468762744607,0.2823839149471879,65.33333333333333,42.0,20.666666666666668,6.005895932515461
FD004,baseline,100-125,150,132,9.723088099161783,13.067721743147017,324.6263684781382,2.1641757898542546,0.0877368706958588,46.666666666666664,7.333333333333333,0.0,-3.7203863779703776
FD004,baseline,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.31900950268062056,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean,0-50,300,132,7.852273207346598,10.2642080916553,405.48626969313983,1.3516208989771328,0.16848848959150325,36.666666666666664,7.333333333333333,1.0,-3.2255362421671547
FD004,eol_mean,75-100,150,132,10.007112566630045,13.496110405180941,338.29166824909373,2.2552777883272914,0.14056765046030859,25.333333333333336,5.333333333333334,0.0,-6.7714475377400705
FD004,eol_mean,100-125,150,132,13.725984128316243,17.067625271882154,482.4981976901371,3.2166546512675804,0.20048864446373418,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_mean,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.4904552154844541,0.0,0.0,0.0,-23.363861083984375
FD004,eol_median,0-50,300,132,7.803326047261556,10.39753897340602,447.6225807353127,1.492075269117709,0.18068384617814753,44.0,10.0,1.3333333333333335,-1.7270753224690756
FD004,eol_median,75-100,150,132,10.59806500752767,14.095349530197574,366.92444228212804,2.4461629485475203,0.1481098638486904,38.0,8.0,0.0,-5.362735366821289
FD004,eol_median,100-125,150,132,13.725984128316243,17.067625271882154,482.4981976901371,3.2166546512675804,0.1947614662099208,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_median,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.4764448237632411,0.0,0.0,0.0,-23.363861083984375
FD004,eol_weighted_mean,0-50,300,132,7.591361834853087,10.980041672702091,944.2776408004097,3.1475921360013657,0.27990171887227044,55.666666666666664,17.333333333333336,5.333333333333334,2.7192197062827828
FD004,eol_weighted_mean,75-100,150,132,14.110012802941434,17.86911230987615,927.6199117898707,6.184132745265805,0.274964053527779,64.0,41.333333333333336,18.0,5.261542585868759
FD004,eol_weighted_mean,100-125,150,132,9.669845095475514,13.09075057533543,321.3717749600103,2.1424784997334023,0.09526066097688368,44.0,7.333333333333333,0.0,-4.3147016469637505
FD004,eol_weighted_mean,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.3498735666230669,0.0,0.0,0.0,-23.363861083984375
FD004,eol_last3_mean,0-50,300,132,8.783542065090604,11.112776441488222,589.6867693430793,1.965622564476931,0.22760696642526856,59.333333333333336,25.666666666666664,5.666666666666666,3.2300665813022182
FD004,eol_last3_mean,75-100,150,132,10.007112566630045,13.496110405180941,338.29166824909373,2.2552777883272914,0.1305736271866776,25.333333333333336,5.333333333333334,0.0,-6.7714475377400705
FD004,eol_last3_mean,100-125,150,132,13.725984128316243,17.067625271882154,482.4981976901371,3.2166546512675804,0.18623438203345286,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_last3_mean,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.4555850243546009,0.0,0.0,0.0,-23.363861083984375
FD004,eol_last3_median,0-50,300,132,8.971532907485962,11.895586924647823,733.0084525115745,2.443361508371915,0.26531687329529946,62.33333333333333,22.0,5.666666666666666,3.4565021928151447
FD004,eol_last3_median,75-100,150,132,10.59806500752767,14.095349530197574,366.92444228212804,2.4461629485475203,0.13281053639743476,38.0,8.0,0.0,-5.362735366821289
FD004,eol_last3_median,100-125,150,132,13.725984128316243,17.067625271882154,482.4981976901371,3.2166546512675804,0.17464316099375818,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_last3_median,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.4272294293135076,0.0,0.0,0.0,-23.363861083984375
