dataset,candidate_name,rul_bin,n_eval_points,n_unique_units,MAE,RMSE,CMAPSS_total,CMAPSS_mean,CMAPSS_share,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,bias
FD004,baseline,0-50,300,132,7.790620536804199,11.380447857260837,1150.2177450705121,3.8340591502350403,0.3108697116763328,55.666666666666664,18.0,6.333333333333334,2.9244331232706706
FD004,baseline,75-100,150,132,14.704131126403809,18.56701276157994,1044.820314411691,6.965468762744607,0.2823839149471879,65.33333333333333,42.0,20.666666666666668,6.005895932515461
FD004,baseline,100-125,150,132,9.723088099161783,13.067721743147017,324.6263684781382,2.1641757898542546,0.0877368706958588,46.666666666666664,7.333333333333333,0.0,-3.7203863779703776
FD004,baseline,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.31900950268062056,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean,0-50,300,132,7.852273207346598,10.2642080916553,405.48626969313983,1.3516208989771328,0.16848848959150325,36.666666666666664,7.333333333333333,1.0,-3.2255362421671547
FD004,eol_mean,75-100,150,132,10.007112566630045,13.496110405180941,338.29166824909373,2.2552777883272914,0.14056765046030859,25.333333333333336,5.333333333333334,0.0,-6.7714475377400705
FD004,eol_mean,100-125,150,132,13.725984128316243,17.067625271882154,482.49819769013703,3.2166546512675804,0.20048864446373416,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_mean,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.4904552154844541,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b50_floor0,0-50,300,132,7.860516197522481,11.451416496763903,1164.245972337073,3.880819907790243,0.32562020849629486,61.33333333333333,20.333333333333332,6.333333333333334,4.046103962898254
FD004,eol_mean_guard_b50_floor0,75-100,150,132,14.287998178270128,17.859624937444185,912.8531852701549,6.085687901801032,0.2553098327817248,65.33333333333333,42.0,20.666666666666668,6.422028880649143
FD004,eol_mean_guard_b50_floor0,100-125,150,132,9.674709180196126,12.982336974716553,318.0379806377254,2.1202532042515028,0.08894992641212601,46.666666666666664,7.333333333333333,0.0,-3.6720074590047203
FD004,eol_mean_guard_b50_floor0,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.3301200323098544,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b50_floor2,0-50,300,132,7.607484410285949,10.939812511124181,977.6941444014219,3.258980481338073,0.2998854107296203,55.666666666666664,18.666666666666668,5.0,2.6351180486679078
FD004,eol_mean_guard_b50_floor2,75-100,150,132,13.514325269063313,16.959198913591933,774.3166439054348,5.162110959369565,0.23750399459999547,60.0,41.333333333333336,16.666666666666664,4.683334032694498
FD004,eol_mean_guard_b50_floor2,100-125,150,132,9.861036313374838,13.426588881646067,327.8800158121038,2.185866772080692,0.10056972702035154,38.666666666666664,7.333333333333333,0.0,-5.488726336161295
FD004,eol_mean_guard_b50_floor2,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.3620408676500325,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b50_blend50,0-50,300,132,6.358590275128682,8.354600653428069,298.9693599723955,0.9965645332413184,0.1272433726692293,40.0,5.666666666666666,1.0,-2.094560929616292
FD004,eol_mean_guard_b50_blend50,75-100,150,132,10.10839771270752,13.8507763110671,387.7843631932328,2.5852290879548856,0.165043636062412,25.333333333333336,5.333333333333334,0.0,-6.872732683817546
FD004,eol_mean_guard_b50_blend50,100-125,150,132,13.725984128316243,17.067625271882154,482.49819769013703,3.2166546512675804,0.2053544817655772,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_mean_guard_b50_blend50,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.5023585095027814,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b60_floor2,0-50,300,132,7.607484410285949,10.939812511124181,977.6941444014219,3.258980481338073,0.2998854107296203,55.666666666666664,18.666666666666668,5.0,2.6351180486679078
FD004,eol_mean_guard_b60_floor2,75-100,150,132,13.514325269063313,16.959198913591933,774.3166439054348,5.162110959369565,0.23750399459999547,60.0,41.333333333333336,16.666666666666664,4.683334032694498
FD004,eol_mean_guard_b60_floor2,100-125,150,132,9.861036313374838,13.426588881646067,327.8800158121038,2.185866772080692,0.10056972702035154,38.666666666666664,7.333333333333333,0.0,-5.488726336161295
FD004,eol_mean_guard_b60_floor2,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.3620408676500325,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b60_blend50,0-50,300,132,6.10772728252411,8.090825272826134,289.3548492261234,0.964516164087078,0.12384755856831452,43.666666666666664,5.666666666666666,1.0,-1.4947433134714763
FD004,eol_mean_guard_b60_blend50,75-100,150,132,10.089791297912598,13.795888687771052,384.19110076617267,2.5612740051078178,0.16443868136586975,25.333333333333336,5.333333333333334,0.0,-6.854126269022624
FD004,eol_mean_guard_b60_blend50,100-125,150,132,13.725984128316243,17.067625271882154,482.49819769013703,3.2166546512675804,0.20651537016695193,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_mean_guard_b60_blend50,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.5051983898988636,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b50_only_if_lower_floor2,0-50,300,132,6.068744594256083,8.074236702395384,297.220972938724,0.9907365764624133,0.12931951849745585,44.333333333333336,8.333333333333332,1.0,-0.690504152615865
FD004,eol_mean_guard_b50_only_if_lower_floor2,75-100,150,132,10.007112566630045,13.496110405180941,338.29166824909373,2.2552777883272914,0.14718919468274885,25.333333333333336,5.333333333333334,0.0,-6.7714475377400705
FD004,eol_mean_guard_b50_only_if_lower_floor2,100-125,150,132,13.725984128316243,17.067625271882154,482.49819769013703,3.2166546512675804,0.20993281188821972,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_mean_guard_b50_only_if_lower_floor2,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.5135584749315755,0.0,0.0,0.0,-23.363861083984375
FD004,eol_mean_guard_b60_only_if_lower_floor2,0-50,300,132,5.862810381253561,7.839153419837897,291.85099935674486,0.9728366645224829,0.12760196795824133,51.0,8.333333333333332,1.0,0.25006479676564536
FD004,eol_mean_guard_b60_only_if_lower_floor2,75-100,150,132,9.958567797342937,13.38897196400515,332.51409820935237,2.2167606547290157,0.14538053115764574,25.333333333333336,5.333333333333334,0.0,-6.722902768452961
FD004,eol_mean_guard_b60_only_if_lower_floor2,100-125,150,132,13.725984128316243,17.067625271882154,482.49819769013703,3.2166546512675804,0.21095600048402985,8.0,0.6666666666666667,0.0,-13.22943068186442
FD004,eol_mean_guard_b60_only_if_lower_floor2,125+,147,129,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.516061500400083,0.0,0.0,0.0,-23.363861083984375
