representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,eval_random_state
temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,259,13.913172880194823,18.646023808920027,0.8060932083652355,1443.075655623314,5.571720678082293,5.7915057915057915,xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Fault-sensitive XGBoost with extra weight on the 30-90 RUL band where validation errors were riskier.,2,2
temporal_w50_condition_normalized,lgbm_quantile_a04_condition_normalized_weighted,259,13.490472979656252,18.581386530102076,0.8074352514010541,1637.5964541959547,6.3227662324168135,6.563706563706563,lgbm_quantile_a04_condition_normalized_weighted,lightgbm,condition_normalized,50,125,bin_weights,364,"{""alpha"":0.4,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1100,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",LightGBM quantile alpha=0.4 with FD002 condition-aware features and near-failure weights.,2,2
temporal_w50_condition_normalized,xgb_squarederror_condition_normalized_weighted,259,12.960027348580969,17.078757715332685,0.8373203958993614,1097.7515181266886,4.238422849909995,7.722007722007722,xgb_squarederror_condition_normalized_weighted,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",XGBoost baseline with FD002 condition-aware features and near-failure weights.,3,3
temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,259,12.933376238613056,17.320065629892476,0.8326908786629023,1116.4002886351575,4.310425824846168,6.94980694980695,xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Fault-sensitive XGBoost with extra weight on the 30-90 RUL band where validation errors were riskier.,3,3
temporal_w50_condition_fault_sensitive,xgb_condition_fault_sensitive_weighted,259,12.917088125663374,17.24540521175868,0.8341301856932071,1168.5231028945263,4.511672211947978,8.880308880308881,xgb_condition_fault_sensitive_weighted,xgboost,condition_fault_sensitive,50,125,bin_weights,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Current best FD002 XGBoost recipe plus condition-normalized fault-sensitive features.,3,3
temporal_w50_condition_normalized,lgbm_quantile_a04_condition_normalized_weighted,259,12.97773268692534,17.691727666485328,0.8254334444133963,1275.3915276277958,4.9242916124625316,6.177606177606178,lgbm_quantile_a04_condition_normalized_weighted,lightgbm,condition_normalized,50,125,bin_weights,364,"{""alpha"":0.4,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1100,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",LightGBM quantile alpha=0.4 with FD002 condition-aware features and near-failure weights.,3,3
temporal_w50_condition_fault_sensitive,xgb_condition_fault_sensitive_weighted,258,13.529381293659062,17.429682673161867,0.8298864910287452,1161.0778082150573,4.5003015822289045,9.689922480620156,xgb_condition_fault_sensitive_weighted,xgboost,condition_fault_sensitive,50,125,bin_weights,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Current best FD002 XGBoost recipe plus condition-normalized fault-sensitive features.,4,4
temporal_w50_condition_normalized,xgb_squarederror_condition_normalized_weighted,258,13.494564873303554,17.444777051071803,0.8295917215255599,1186.663040985949,4.599469151108329,9.30232558139535,xgb_squarederror_condition_normalized_weighted,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",XGBoost baseline with FD002 condition-aware features and near-failure weights.,4,4
temporal_w50_condition_normalized,lgbm_quantile_a04_condition_normalized_weighted,258,13.73822194688867,18.098678059251895,0.8165771015404202,1225.3149634323718,4.7492828040014405,6.2015503875969,lgbm_quantile_a04_condition_normalized_weighted,lightgbm,condition_normalized,50,125,bin_weights,364,"{""alpha"":0.4,""colsample_bytree"":0.9,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1100,""num_leaves"":31,""objective"":""quantile"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.85}",LightGBM quantile alpha=0.4 with FD002 condition-aware features and near-failure weights.,4,4
temporal_w50_condition_fault_sensitive_mid_guard,xgb_condition_fault_sensitive_mid_guard,258,13.807715571203897,17.92152354002477,0.8201503088776563,1241.1220273442327,4.810550493582298,7.751937984496124,xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Fault-sensitive XGBoost with extra weight on the 30-90 RUL band where validation errors were riskier.,4,4
