model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,std_R2,mean_CMAPSS,std_CMAPSS,mean_dangerous_error_pct,mean_conservative_error_pct,mean_bias,worst_RMSE,worst_CMAPSS,notes
candidate_03_B_quantile_a040_search_14,FD001 transfer baseline sobre FD003,50,125,quantile,0.4,none,base,12.079830924010968,0.690580686288733,16.448623669467118,1.5588849130364946,0.8486103786903177,0.0289306253366195,424.4302138605029,84.28413504673514,5.6,13.4,-3.5930946973009306,18.18357189811067,555.0495306039678,Pipeline FD001 transferido directo a FD003.
fd003_lgbm_w50_cap125_quantile_a04_none,FD003 short tuning best,50,125,quantile,0.4,none,base,12.079830924010968,0.690580686288733,16.448623669467118,1.5588849130364946,0.8486103786903177,0.0289306253366195,424.4302138605029,84.28413504673514,5.6,13.4,-3.5930946973009306,18.18357189811067,555.0495306039678,Mejor punto de tuning corto FD003.
fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,FD003 fault-sensitive features best,50,125,quantile,0.4,none,fault_sensitive,12.16236471834893,0.5789525555186039,16.367036905847883,1.118125622413591,0.8506221883314528,0.0206380629574656,404.1823383703693,38.602982008255225,5.0,13.6,-3.6510998591119352,17.89616814863213,443.1618621829456,Candidato actual antes del refinamiento.
fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive_global_baseline,FD003 pseudo-cluster best,50,125,quantile,0.4,none,fault_sensitive,12.16236471834893,0.5789525555186039,16.367036905847883,1.118125622413591,0.8506221883314528,0.0206380629574656,404.1823383703693,38.602982008255225,5.0,13.6,-3.6510998591119352,17.89616814863213,443.1618621829456,Mejor variante pseudo-cluster; no necesariamente seleccionada.
fd003_lgbm_refinement_baseline_current,FD003 current final candidate,50,125,quantile,0.4,none,fault_sensitive,12.16236471834893,0.5789525555186039,16.367036905847883,1.118125622413591,0.8506221883314528,0.0206380629574656,404.1823383703693,38.602982008255225,5.0,13.6,-3.6510998591119352,17.89616814863213,443.1618621829456,Candidato final actual usado como baseline del refinamiento.
fd003_lgbm_refinement_search_20,FD003 hyperparam refinement best,50,125,quantile,0.4,none,fault_sensitive,12.160812439289078,0.6028524015593758,16.25989226059689,1.2229450862521585,0.8524552377369948,0.0223714643521315,400.7871311880896,44.36910809647311,5.4,13.4,-3.126701861011191,17.9287357226046,439.7389808743628,Mejor combinacion de hiperparametros LightGBM de esta busqueda acotada.
fd003_lgbm_refinement_baseline_current,FD003 final selected candidate,50,125,quantile,0.4,none,fault_sensitive,12.16236471834893,0.5789525555186039,16.367036905847883,1.118125622413591,0.8506221883314528,0.0206380629574656,404.1823383703693,38.602982008255225,5.0,13.6,-3.6510998591119352,17.89616814863213,443.1618621829456,Seleccion final tras refinamiento; mantiene el actual si no hay mejora defendible.
