model_name,feature_set,rul_bin,n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95
fd003_lgbm_w50_cap125_quantile_a04_none_base,base,0-30,100,71,3.236137646613136,4.312794185230837,,40.12230164349234,0.4012230164349234,0.0,0.0,0.3803448844983025,6.326041627265856,8.39212926950564
fd003_lgbm_w50_cap125_quantile_a04_none_base,base,101+,200,71,17.9815773289051,21.769722029751033,-1.1063146544561215,1270.7325682100627,6.353662841050314,0.0,32.0,-13.877072894892484,35.80554639894178,42.972087720395024
fd003_lgbm_w50_cap125_quantile_a04_none_base,base,31-60,100,71,7.980146556903464,10.97883791735124,,270.2873546139157,2.702873546139157,7.000000000000001,0.0,3.3460854247928267,17.196575792579893,20.563422961944486
fd003_lgbm_w50_cap125_quantile_a04_none_base,base,61-100,100,71,13.219715758728027,16.599093998837894,,541.0088448350441,5.410088448350441,21.0,3.0,6.062241993989179,27.07064625727167,31.77067468143179
fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive,0-30,100,71,3.253793208677099,4.264005488491562,,39.21124504535388,0.39211245045353876,0.0,0.0,0.2538942661327177,6.5373637154062285,8.951729079286048
fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive,101+,200,71,17.890341462829216,21.479413909149855,-1.0505120972470232,1164.6638350961596,5.823319175480798,0.0,32.5,-13.848360185650515,36.137950807516965,41.127264704242236
fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive,31-60,100,71,8.094769038857756,11.183978481932492,,274.9933272727508,2.7499332727275076,6.0,0.0,3.1036716113260097,18.532236003330745,21.9981219335536
fd003_lgbm_w50_cap125_quantile_a04_none_fault_sensitive,fault_sensitive,61-100,100,71,13.682578418551373,16.685524977223487,,542.0432844375824,5.420432844375824,19.0,3.0,6.083655198282624,27.9979571621158,32.6098093021347
