model_name,approach,window_size,rul_cap,objective,alpha,sample_weight_scheme,feature_set,n_features,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,mean_conservative_error_pct,std_conservative_error_pct,mean_bias_mean,std_bias_mean,mean_abs_error_p90,std_abs_error_p90,mean_abs_error_p95,std_abs_error_p95,worst_rmse,worst_cmapss_score,worst_dangerous_error_pct
fd003_lgbm_w50_cap125_quantile_a04_none,short_tuning,50,125,quantile,0.4,none,base,140,12.079830924010967,0.690580686288733,16.448623669467118,1.5588849130364946,0.8486103786903177,0.028930625336619588,424.43021386050293,84.28413504673514,5.6,2.1908902300206643,13.4,5.224940191045253,-3.5930946973009306,2.76636122256569,27.152506644341354,4.401027237129054,33.33215184856435,3.2403048755551,18.18357189811067,555.0495306039678,9.0
fd003_lgbm_w50_cap125_quantile_a035_none,short_tuning,50,125,quantile,0.35,none,base,140,12.373589696385464,0.9420056436645193,16.704801671884407,1.6778922866061488,0.8437207461570255,0.03151009397856752,433.6063746332017,127.23583758746442,5.4,2.5099800796022267,14.6,4.774934554525329,-4.213362152296997,2.6320535061346,27.346326328495657,3.344705818895772,34.38783643722378,4.305788767294924,18.604164293292673,647.0993591807082,9.0
fd003_lgbm_w50_cap125_quantile_a04_low_rul_weight,short_tuning,50,125,quantile,0.4,low_rul_weight,base,140,12.21879842157027,0.7871630655261952,16.661958845284822,1.5143102243970599,0.844747010596369,0.02793815903328289,436.49991694924273,102.44417210415942,5.6,3.286335345030997,14.2,6.260990336999411,-4.00431780428225,2.8691189760284534,27.42295792059482,2.306937975448608,34.47907592940553,4.075322816563405,18.265591114674866,586.0996654586285,10.0
fd003_lgbm_w50_cap125_quantile_a05_low_rul_weight,short_tuning,50,125,quantile,0.5,low_rul_weight,base,140,12.278675762778661,0.6155866497545586,16.552987314634382,1.2785062311120703,0.8470505268973108,0.023767817328341358,438.06343406746294,57.53211228615068,6.2,1.9235384061671346,13.0,6.244997998398398,-2.8704946822978834,3.137264959190696,28.4673782216605,2.7904903288908103,34.38803157107602,4.040181502488794,18.067969161748294,495.44363731411863,9.0
fd003_lgbm_w50_cap125_quantile_a035_low_rul_weight,short_tuning,50,125,quantile,0.35,low_rul_weight,base,140,12.258285805829317,1.1087023614819118,16.788668928048025,1.9422170107139791,0.8417349056061274,0.03568783282431306,445.09931626816405,118.67502061077626,4.2,2.16794833886788,16.0,5.477225575051661,-4.788508594251425,2.8678704362981224,29.69292399114675,5.046256514623697,35.228148588867484,6.020152021271135,18.663320903551924,584.3655526439338,6.0
fd003_lgbm_w70_cap125_quantile_a04_none,short_tuning,70,125,quantile,0.4,none,base,140,12.795057067967235,0.5783259078237653,16.878099847780256,1.0536938495660249,0.8412452938585944,0.019641613774971787,449.8760404020767,29.367210853023277,5.6,3.0495901363953815,14.8,5.263078946776307,-3.9552816169660416,2.7710338451902987,27.345807219763522,2.1904173897694657,34.91920643774822,4.701693898544386,18.054129481321926,495.5183536780916,8.0
fd003_lgbm_w50_cap125_regression_low_rul_weight,short_tuning,50,125,regression,,low_rul_weight,base,140,12.146759361679377,1.0659408817357687,16.33269705240595,1.6409238490291844,0.850604945628711,0.0293329115475129,450.9834315451453,120.10050695020018,5.8,2.5884358211089573,13.6,5.549774770204643,-2.463595711391096,2.6475091503519432,27.197607220086418,2.012674018662274,33.981118862738654,3.815621860966496,17.921819119218064,604.5620522543923,9.0
fd003_lgbm_w50_cap125_regression_none,short_tuning,50,125,regression,,none,base,140,12.288703577920113,1.0207516974007076,16.54092110733577,1.5810342422439674,0.8468878852782087,0.02912693172886295,479.5624806728033,164.12489786763035,6.2,2.9495762407505253,13.6,4.61519230368573,-2.291128311301363,2.6082783764680992,27.96274166323001,1.6610728631457627,34.457173712425174,3.1261618263521562,18.41559339856053,755.5832055985936,10.0
fd003_lgbm_w70_cap125_regression_none,short_tuning,70,125,regression,,none,base,140,12.441063826256553,0.8220171224520441,16.732370598745593,1.487483847600409,0.8434764931048535,0.0280576282889999,493.8304762801724,195.86421998345597,6.8,3.420526275297414,13.8,4.324349662087931,-2.888998576963948,2.7221514336833126,26.42804690703046,1.7986561025393732,33.44803423286697,3.4089967703562123,18.895960848525416,836.2498555376926,10.0
fd003_lgbm_w70_cap125_quantile_a04_low_rul_weight,short_tuning,70,125,quantile,0.4,low_rul_weight,base,140,12.830154881328724,0.8026409957332635,17.31459938952268,1.4599283830265968,0.832499741818604,0.027753735026643103,497.9059222117004,147.84094122302383,5.6,2.7018512172212596,16.0,4.472135954999579,-4.549168880648631,2.772000864418847,28.83088250157291,3.5590711017676075,37.27447777082888,3.475861267524329,19.15415956580384,757.0180185612469,8.0
