random_state,cluster_classifier_oof_accuracy,n_train_units_cluster_0,n_train_units_cluster_1,n_train_rows_cluster_0,n_train_rows_cluster_1,mean_eval_cluster_prob_0,mean_eval_cluster_prob_1,mixture_fallback
0,0.9994284970556765,37,43,10500,8803,0.3526606544731543,0.6473393455268456,False
1,0.9980858689752109,33,47,10037,9697,0.551885605865222,0.44811439413477805,False
2,0.999359076397568,42,38,8474,11657,0.6964835827541797,0.3035164172458202,False
3,0.9994764343118581,48,32,9706,9515,0.3982659073509086,0.6017340926490915,False
4,0.9830383978674778,35,45,10565,9005,0.5250227630307049,0.47497723696929506,False
