dataset,model,window,cap,objective,alpha,mean_mae,mean_rmse,mean_r2,mean_cmapss_score,mean_dangerous_error_pct,mean_conservative_error_pct,mean_bias,worst_rmse,worst_cmapss_score
FD001,candidate_03_B_quantile_a040_search_14,50,125,quantile,0.4,11.656847998281162,15.087995229800743,0.8718855301519601,307.4446483164472,5.044691816120388,14.861018346732632,-3.1276901278131044,16.92537924715522,398.125027515584
FD003,candidate_03_B_quantile_a040_search_14,50,125,quantile,0.4,12.079830924010967,16.448623669467118,0.8486103786903177,424.43021386050293,5.6,13.4,-3.5930946973009306,18.18357189811067,555.0495306039678
