dataset,candidate_name,rul_bin,n_motors,MAE,RMSE,CMAPSS_total,CMAPSS_mean,CMAPSS_share,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,conservative_pct,bias
FD004,fd004_high_rul_thr120_off2,0-25,150,4.627716217041016,7.229953067787575,451.5598429582694,3.0103989530551294,0.12204322076116275,50.0,6.0,0.6666666666666667,50.0,0.8226303100585939
FD004,fd004_high_rul_thr120_off2,50-75,150,10.953524856567382,14.379046056719291,698.6579021122426,4.65771934741495,0.18882649091517,61.33333333333333,30.0,12.0,38.666666666666664,5.026235936482747
FD004,fd004_high_rul_thr120_off2,75-100,150,14.704131126403809,18.56701276157994,1044.820314411691,6.965468762744607,0.2823839149471879,65.33333333333333,42.0,20.666666666666668,34.66666666666667,6.005895932515461
FD004,fd004_high_rul_thr120_off2,100-125,150,9.723088099161783,13.067721743147017,324.6263684781382,2.1641757898542546,0.0877368706958588,46.666666666666664,7.333333333333333,0.0,53.333333333333336,-3.7203863779703776
FD004,fd004_high_rul_thr120_off2,125+,147,23.363861083984375,25.681487658182874,1180.3349668603437,8.029489570478528,0.31900950268062056,0.0,0.0,0.0,100.0,-23.363861083984375
