candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,worst_cmapss_score,worst_rmse,worst_dangerous_error_pct
fd004_xgb_fs_bin_weights_w70,xgboost,condition_fault_sensitive,70,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Wider temporal context for FD004 XGBoost fault-sensitive model.,12.757371652238021,0.3409364106158144,16.98919939175424,0.43156018307481764,0.8389273378261382,0.008215721222291968,1233.7280994211842,238.97123224663804,6.693440428380188,0.613463948454597,1509.3795271043082,17.46386936929317,7.228915662650602
fd002_xgb_condition_fault_sensitive_mid_guard,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost recipe transferred with FD004 fault-sensitive sensors.,13.04678963465863,0.14518426516101693,17.740766424621516,0.4539979605819201,0.8243599510243799,0.009035613184045435,1477.5991561049912,381.3049714676846,6.425702811244979,0.40160642570281135,1903.668550539014,18.250006037053616,6.827309236947792
fd004_xgb_fs_mid_guard_depth3,xgboost,condition_fault_sensitive,50,125,mid_rul_guard,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD002 final XGBoost settings over FD004 fault-sensitive features.,13.04678963465863,0.14518426516101693,17.740766424621516,0.4539979605819201,0.8243599510243799,0.009035613184045435,1477.5991561049912,381.3049714676846,6.425702811244979,0.40160642570281135,1903.668550539014,18.250006037053616,6.827309236947792
fd004_xgb_fs_bin_weights_depth3,xgboost,condition_fault_sensitive,50,125,bin_weights,469,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",FD004 XGBoost fault-sensitive model with standard near-failure weights.,12.872130910395938,0.31726360644240276,17.51379728392592,0.6571873752727464,0.8287394457943821,0.01294266032412075,1483.67285504313,327.7400065053481,8.433734939759036,0.4016064257028109,1707.0936334837816,18.248953314941634,8.835341365461847
