representation,model_name,window_size,rul_cap,n_features,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,mae_rul_0_30,dangerous_error_pct_rul_0_30,mae_rul_30_60,dangerous_error_pct_rul_30_60,mae_rul_60_90,dangerous_error_pct_rul_60_90,mae_rul_90plus,dangerous_error_pct_rul_90plus,hidden_layers,dropout,weight_decay,lr,batch_size,epochs_run
temporal_w30,LGBMRegressor,30,125,119,99,12.809901011862157,16.517133791119495,0.8468575738424204,397.3150131692883,4.013282961305943,11.11111111111111,4.325693817922822,0.0,8.545873709455318,15.0,16.484271561530896,40.0,17.46316457426085,0.0,,,,,,
temporal_w30,MLP_tabular_cfg_03,30,125,119,99,12.626826575308135,17.051460389636745,0.8367890431723335,449.5291866616722,4.540698855168406,10.1010101010101,4.246184873580932,0.0,8.448703384399414,15.0,15.369181442260743,35.0,17.660882998735477,0.0,"[128, 64, 32]",0.1,0.0001,0.001,256.0,250.0
temporal_w30,RandomForestRegressor,30,125,119,99,13.817340664249281,17.91207320638864,0.8198982798071819,580.9338452585,5.868018638974748,14.14141414141414,3.6836192718895644,0.0,12.365219116816869,20.0,19.480671038742962,50.0,16.854526595171567,0.0,,,,,,
