representation,model_name,rul_bin,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct
current_cycle,DummyRegressor,0-30,20,66.95881891190147,66.95881891190146,0.0,16161.342577148976,808.0671288574488,100.0
current_cycle,DummyRegressor,30-60,20,36.958818911901474,36.95881891190146,0.0,785.6216091723443,39.28108045861721,100.0
current_cycle,DummyRegressor,60-90,20,6.95881891190146,6.95881891190146,0.0,20.109538134492063,1.0054769067246032,0.0
current_cycle,DummyRegressor,90+,39,37.656565703483146,40.532320579836785,-6.306443762056464,1202.5650644286443,30.83500165201652,0.0
current_cycle,Ridge,0-30,20,16.933904751709793,20.18712326712935,0.0,168.42922278548414,8.421461139274207,45.0
current_cycle,Ridge,30-60,20,19.757543926651163,23.05641856074838,0.0,254.16187479718218,12.708093739859109,50.0
current_cycle,Ridge,60-90,20,14.490160412546032,18.291396923551282,0.0,168.33616786624248,8.416808393312124,25.0
current_cycle,Ridge,90+,39,23.558740217089234,28.47285905283763,-2.6054980459638433,576.1920070453532,14.774154026803927,0.0
current_cycle,RandomForestRegressor,0-30,20,7.899243083103346,9.553293699316457,0.0,31.261241604832716,1.5630620802416357,5.0
current_cycle,RandomForestRegressor,30-60,20,19.23216878203047,26.532766369265513,0.0,868.2653764498009,43.413268822490046,35.0
current_cycle,RandomForestRegressor,60-90,20,17.554393512948316,20.553870097151172,0.0,180.68772653365917,9.03438632668296,40.0
current_cycle,RandomForestRegressor,90+,39,19.39878662126082,23.512223143830226,-1.458614833708682,306.2860908274743,7.853489508396777,0.0
current_cycle,MLP,0-30,20,5.978268432617187,8.235149012949918,0.0,23.91582377686897,1.1957911888434485,5.0
current_cycle,MLP,30-60,20,20.048648643493653,26.9727325455667,0.0,842.5232554455891,42.12616277227946,30.0
current_cycle,MLP,60-90,20,18.84151954650879,22.62737226270458,0.0,223.8929501095953,11.194647505479765,45.0
current_cycle,MLP,90+,39,18.593724470872147,23.802036334783644,-1.5195984682189203,409.9301266448244,10.51102888832883,0.0
