candidate_id,candidate_label,family,objective,alpha,sample_weight_scheme,params,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,mean_cmapss_score,std_cmapss_score,mean_dangerous_error_pct,std_dangerous_error_pct,mean_conservative_error_pct,std_conservative_error_pct,mean_bias_mean,std_bias_mean,worst_rmse,worst_cmapss_score,worst_dangerous_error_pct
"B_quantile_no_weights|quantile|0.40|none|{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",candidate_03_B_quantile_a040_search_14,B_quantile_no_weights,quantile,0.4,none,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",11.656847998281162,1.148116996616057,15.087995229800743,1.3838418203582843,0.8718855301519601,0.023172618925374283,307.44464831644717,86.61261567426524,5.0446918161203875,3.6493221620683594,14.861018346732632,4.469461810915721,-3.1276901278131044,2.0038551151885677,16.92537924715522,398.12502751558395,10.1010101010101
"B_quantile_no_weights|quantile|0.35|none|{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":4,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":47,""reg_alpha"":0.5,""reg_lambda"":1.0,""subsample"":0.9}",candidate_02_B_quantile_a035_search_02,B_quantile_no_weights,quantile,0.35,none,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":4,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":47,""reg_alpha"":0.5,""reg_lambda"":1.0,""subsample"":0.9}",11.752371543990979,0.9837064021522012,15.471574980936941,1.0561153738405686,0.8656971586828872,0.017937723396332428,314.73639417754805,68.54785024113137,4.8406101834673265,3.602210807640638,16.67730364873222,3.749328101460877,-3.9704178410976128,1.9989508651044314,16.76912540690776,387.7377360706862,10.1010101010101
"A_regression_bin_weights|regression||bin_weights|{""colsample_bytree"":0.85,""learning_rate"":0.035,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":220,""num_leaves"":31,""reg_alpha"":0.0,""reg_lambda"":0.1,""subsample"":0.85}",candidate_04_base_regression_bin_weights,A_regression_bin_weights,regression,,bin_weights,"{""colsample_bytree"":0.85,""learning_rate"":0.035,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":220,""num_leaves"":31,""reg_alpha"":0.0,""reg_lambda"":0.1,""subsample"":0.85}",11.59195247420737,1.2292803564030554,15.02459684696007,1.7105802381919624,0.8724706186473098,0.028445748939926824,323.52638271524495,109.35623107867733,4.638631210059781,2.9109612876483224,14.069140383426099,2.655626047815278,-2.301920153399183,1.7258745880557558,17.05721471002157,449.00208241176625,7.07070707070707
"A_regression_bin_weights|regression||bin_weights|{""colsample_bytree"":0.9,""learning_rate"":0.08,""max_depth"":6,""min_child_samples"":10,""n_estimators"":400,""num_leaves"":47,""reg_alpha"":0.5,""reg_lambda"":5.0,""subsample"":1.0}",candidate_00_A_regression_bin_weights_search_08,A_regression_bin_weights,regression,,bin_weights,"{""colsample_bytree"":0.9,""learning_rate"":0.08,""max_depth"":6,""min_child_samples"":10,""n_estimators"":400,""num_leaves"":47,""reg_alpha"":0.5,""reg_lambda"":5.0,""subsample"":1.0}",11.675523941145949,1.3659398623251582,15.148102486363593,1.9486418156808172,0.8700110768327363,0.03313708314729452,328.3192510647099,125.97481555666893,6.2487734487734485,2.9922802823888874,16.07730364873222,3.2974864193052498,-2.194345936112138,1.8775181752292642,17.326855919182066,482.21787772136025,10.1010101010101
"A_regression_bin_weights|regression||bin_weights|{""colsample_bytree"":1.0,""learning_rate"":0.08,""max_depth"":6,""min_child_samples"":10,""n_estimators"":1000,""num_leaves"":63,""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":1.0}",candidate_01_A_regression_bin_weights_search_25,A_regression_bin_weights,regression,,bin_weights,"{""colsample_bytree"":1.0,""learning_rate"":0.08,""max_depth"":6,""min_child_samples"":10,""n_estimators"":1000,""num_leaves"":63,""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":1.0}",11.640385340782485,1.3879219762644146,15.105782412347983,1.8250310767927977,0.870955112497857,0.030481255732924716,331.0681402230199,116.12975052817274,5.04671201814059,4.571505787509697,15.860935889507317,5.238608067078119,-2.4042845767118055,1.9035250550560243,17.198913250291035,460.3174342152178,11.11111111111111
