representation,model_name,n_eval,dangerous_error_pct,conservative_error_pct,mean_error,median_abs_error
temporal_w30,RandomForestRegressor,99,14.14141414141414,15.151515151515152,-0.048490860499939184,9.81844476016181
temporal_w30,MLP,99,15.151515151515152,17.17171717171717,-0.5385195028902305,11.045188903808594
current_cycle,MLP,99,16.161616161616163,19.19191919191919,0.15471780179726963,10.112749099731444
current_cycle,RandomForestRegressor,99,16.161616161616163,18.181818181818183,0.6193376141751326,13.487663706009783
temporal_w30,Ridge,99,17.17171717171717,21.21212121212121,-0.1696098173195796,15.623191127230378
current_cycle,Ridge,99,24.242424242424242,19.19191919191919,0.9850515248775681,16.957040491933782
current_cycle,DummyRegressor,99,40.4040404040404,39.39393939393939,7.564879517962066,36.95881891190146
