representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,mae_rul_0_30,dangerous_error_pct_rul_0_30,mae_rul_30_60,dangerous_error_pct_rul_30_60,mae_rul_60_90,dangerous_error_pct_rul_60_90,mae_rul_90plus,dangerous_error_pct_rul_90plus,window_size,rul_cap,sample_weight_scheme,target_used_for_training,n_features,training_objective,experiment_group,prediction_offset,mean_error,median_error,conservative_error_pct,p95_overestimate
temporal_w50,LGBM_bin_weights_offset_2,99,11.30796632929612,14.461677983933692,0.8826012362418192,250.30611448320397,2.528344590739434,6.0606060606060606,3.451115132370809,0.0,7.081388719187197,0.0,13.825282847113652,30.0,16.21366493915084,0.0,50,125,bin_weights,,,squared_error_post_offset,post_offset,2.0,-4.019054097689953,-2.8393405481484457,15.151515151515152,21.787760444611337
temporal_w50,LGBMRegressor,99,11.194266564103517,14.03794549498724,0.8893801020405498,251.5543095089348,2.540952621302372,7.07070707070707,3.788301294667439,0.0,7.481388719187194,5.0,14.22528284711365,30.0,15.341870067355964,0.0,50,125,bin_weights,RUL_capped,119.0,squared_error,current_reference,0.0,-2.0190540976899527,-0.8393405481484457,13.131313131313133,23.78776044461134
temporal_w50,LGBM_bin_weights_offset_0,99,11.19426656410352,14.037945494987243,0.8893801020405498,251.55430950893484,2.540952621302372,7.07070707070707,3.7883012946674386,0.0,7.481388719187194,5.0,14.225282847113652,30.0,15.341870067355966,0.0,50,125,bin_weights,,,squared_error_post_offset,post_offset,0.0,-2.019054097689953,-0.8393405481484457,13.131313131313133,23.787760444611337
temporal_w50,LGBM_quantile_a040,99,11.063332836195013,14.3662076299879,0.8841461614967178,254.94730379470198,2.5752252908555757,4.040404040404041,3.7208998820433443,0.0,6.411056440284551,0.0,14.22584057782987,20.0,15.592666994362848,0.0,50,125,none,,,quantile_alpha_0.40,trained_variant,,-3.69709239373523,-2.361264277194472,14.14141414141414,19.394385179435762
temporal_w50,LGBMRegressor,99,11.297658014886933,14.428232564560634,0.883143622893585,261.0054156177417,2.636418339573148,6.0606060606060606,4.269153780303778,0.0,6.543171834593787,0.0,14.93400612099758,30.0,15.47542330143341,0.0,50,125,none,RUL_capped,119.0,squared_error,current_reference,0.0,-2.3212880134545246,-0.3386047787983841,14.14141414141414,21.258075890344546
temporal_w50,LGBM_bin_weights_offset_4,99,11.675252393871,15.139892552516754,0.871331648793604,261.828336926525,2.6447306760255054,5.05050505050505,4.0131635814183735,0.0,6.875221276511556,0.0,13.425282847113653,25.0,17.16863161262455,0.0,50,125,bin_weights,,,squared_error_post_offset,post_offset,4.0,-6.019054097689953,-4.839340548148446,19.19191919191919,19.787760444611337
temporal_w50,LGBM_quantile_a045,99,11.331264053661418,14.54854329883472,0.8811866690223832,274.9572271881428,2.7773457291731596,7.07070707070707,3.8371728060928625,0.0,7.423295319616463,0.0,14.833474101972604,35.0,15.38246914766261,0.0,50,125,none,,,quantile_alpha_0.45,trained_variant,,-2.656127499169545,-1.125607914704979,14.14141414141414,20.98164426745526
temporal_w50,LGBM_bin_weights_offset_6,99,12.365387205185243,16.040341732410567,0.8555713396959044,286.4805577047214,2.8937430071183976,1.0101010101010102,5.347284613378915,0.0,6.968598966639189,0.0,13.025282847113653,5.0,18.393589865915487,0.0,50,125,bin_weights,,,squared_error_post_offset,post_offset,6.0,-8.019054097689951,-6.839340548148446,22.22222222222222,17.787760444611337
temporal_w50,LGBM_asym_soft,99,11.067664570302469,14.495419963573074,0.8820527676735752,290.0262818749891,2.9295584027776673,10.1010101010101,3.2601520049259056,0.0,7.46511838996206,5.0,15.028417249896183,45.0,14.887821527288756,0.0,50,125,none,,,soft_cmapss_like,trained_variant,,-1.8428285888822007,-0.2584123360691635,15.151515151515152,23.68015339251834
temporal_w50,LGBM_asym_balanced,99,11.341432161429298,14.623346954819938,0.87996173260857,305.96077331168885,3.090512861734231,7.07070707070707,3.6280825816612583,0.0,7.254563293214639,0.0,16.073785962131097,35.0,14.965978134393858,0.0,50,125,none,,,balanced_cmapss_like,trained_variant,,-1.7396516468187067,-0.511822752613238,14.14141414141414,25.424931719778574
temporal_w50,LGBM_bin_weights_offset_8,99,13.354856798658409,17.128011539092093,0.8353203089487201,324.2125953502595,3.274874700507672,0.0,6.8433294590848135,0.0,7.4176435809237145,0.0,13.001345297485477,0.0,19.920114264546214,0.0,50,125,bin_weights,,,squared_error_post_offset,post_offset,8.0,-10.019054097689951,-8.839340548148446,24.242424242424242,15.787760444611338
temporal_w50,LGBM_bin_weights_offset_10,99,14.650581168533188,18.36967598173772,0.8105785565520514,375.627918451623,3.794221398501242,0.0,8.612986430291286,0.0,8.593575376777142,0.0,13.201345297485478,0.0,21.59613829727455,0.0,50,125,bin_weights,,,squared_error_post_offset,post_offset,10.0,-12.019054097689954,-10.839340548148446,29.292929292929294,13.787760444611338
temporal_w50,LGBMRegressor_cmapss_weighted_objective,99,15.138497466422528,20.8983348141432,0.7548400549348515,603.937965280466,6.100383487681475,0.0,3.4153232286175284,0.0,6.927673982049735,0.0,9.566912080718833,0.0,28.21828367559252,0.0,50,125,objective_rul_weighted,RUL_capped,119.0,custom_cmapss_weighted,,,,,,
temporal_w50,LGBM_huber_bin_weights,99,33.77545163480975,40.29919691204183,0.08836931910218404,5637.909285105249,56.948578637426756,20.2020202020202,37.11215685278733,100.0,9.684679966894096,0.0,12.602042679840954,0.0,55.27672107322349,0.0,50,125,bin_weights,,,huber_bin_weights,trained_variant,,-14.867638778372804,-10.89610577026788,39.39393939393939,37.09013757645723
