variant,cluster_id,n_predictions,n_units,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,conservative_error_pct,bias_mean,abs_error_p90,abs_error_p95
global_baseline,0,230,32,12.543577473593565,16.617722891870816,0.8465840477161071,942.600270118,4.098262043991305,4.3478260869565215,14.347826086956522,-4.675661151006828,28.83198200166612,35.049648536494345
global_baseline,1,270,39,11.837627926844245,16.20766008383653,0.8540620858926734,1078.3114217338468,3.993746006421655,5.555555555555555,12.962962962962962,-2.7783254252755443,27.63233049904215,34.291707101541974
global_with_cluster_probs,0,230,32,12.370285407718079,16.53531109808477,0.8481019371608637,958.0109474509895,4.165264988917346,4.3478260869565215,12.608695652173912,-4.370544213324442,27.529477178911705,35.51645445062365
global_with_cluster_probs,1,270,39,12.2068123093812,16.733238573878843,0.844443737127585,1174.9088115019367,4.351514116673839,6.296296296296296,13.333333333333334,-2.720571644260391,27.71653516014355,35.688002688082534
mixture_of_experts_soft,0,230,32,11.347688940234773,14.954618829874406,0.8757552086962033,792.5266235857132,3.4457679286335354,4.782608695652174,10.434782608695652,-3.3477577627567485,23.822093280514274,30.369292851783012
mixture_of_experts_soft,1,270,39,13.42310995136614,17.89209225944645,0.8221516858774758,1520.2849641064965,5.6306850522462835,7.777777777777778,16.296296296296298,-2.555471097313168,29.455854741280085,35.61282509916692
