dataset,candidate_name,model_type,calibration_type,config_file,notebook_file,predictions_file,metrics_file,n_motors,MAE,RMSE,R2,CMAPSS_total,CMAPSS_mean,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,conservative_pct,bias,MAE_RUL_le_50,MAE_RUL_gt_125,score_share_RUL_gt_125,pred_max,true_RUL_max,selected_final_candidate,reason_selected,threshold,offset,base_candidate
FD002,fd002_ensemble_0p7_0p3_thr100_off4,ensemble,piecewise_high_rul_threshold_100_offset_4,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.48960535618686,15.887807767458845,0.8586526094707945,1043.4222454560472,4.044272269209485,56.58914728682171,26.744186046511626,9.689922480620156,43.41085271317829,0.8261516367742221,8.107936740838564,18.874866592407233,0.27957769226332024,142.7662826538086,140.0,False,,100.0,4.0,fd002_ensemble_0p7_0p3
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard_thr90_off4,xgboost,piecewise_high_rul_threshold_90_offset_4,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.595678603002268,15.983239642195672,0.8569494722739939,1043.5418569256253,4.044735879556687,56.201550387596896,26.744186046511626,10.077519379844961,43.798449612403104,0.8957059180089669,8.062047719955444,19.103029479980467,0.2782882897207634,144.5341339111328,140.0,False,,90.0,4.0,fd002_baseline_xgb_condition_fault_sensitive_mid_guard
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard_thr80_off4,xgboost,piecewise_high_rul_threshold_80_offset_4,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.657694106878237,15.957788192536043,0.857404692188973,1044.004144738578,4.046527692785186,56.201550387596896,29.069767441860467,10.077519379844961,43.798449612403104,1.143767933512843,8.138970796878521,19.02302947998047,0.255236777096781,144.5341339111328,140.0,False,,80.0,4.0,fd002_baseline_xgb_condition_fault_sensitive_mid_guard
FD002,fd002_ensemble_0p7_0p3_thr110_off6,ensemble,piecewise_high_rul_threshold_110_offset_6,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.414683850236642,15.808396740641628,0.8600620537598065,1046.5107330932397,4.056243151524185,53.875968992248055,27.906976744186046,10.852713178294573,46.12403100775194,0.9269268305726718,8.107936740838564,17.874866592407233,0.283119303509274,144.7662826538086,140.0,False,,110.0,6.0,fd002_ensemble_0p7_0p3
FD002,fd002_ensemble_0p7_0p3_thr120_off12,ensemble,piecewise_high_rul_threshold_120_offset_12,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.423602849014047,16.320768644117962,0.8508438863082102,1054.1142097424568,4.085713991249833,56.201550387596896,24.418604651162788,13.565891472868216,43.798449612403104,0.7176245049912761,8.107936740838564,18.88088862609864,0.32343189805060246,150.7662826538086,140.0,False,,120.0,12.0,fd002_ensemble_0p7_0p3
FD002,fd002_ensemble_0p6_0p4_thr110_off6,ensemble,piecewise_high_rul_threshold_110_offset_6,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.422081481578738,15.838922901180252,0.859521089018787,1054.55423932703,4.08741953227531,54.263565891472865,28.294573643410853,10.465116279069768,45.73643410852713,0.9890133879905527,8.139693238185002,17.892145629882812,0.28308555940476665,144.1769989013672,140.0,False,,110.0,6.0,fd002_ensemble_0p6_0p4
FD002,fd002_ensemble_0p7_0p3_thr90_off4,ensemble,piecewise_high_rul_threshold_90_offset_4,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.536116984093837,15.943423526294042,0.8576612956804919,1055.861355186063,4.092485872814198,56.58914728682171,26.744186046511626,10.077519379844961,43.41085271317829,1.1517330321230594,8.107936740838564,18.794866592407235,0.2707428535270356,142.7662826538086,140.0,False,,90.0,4.0,fd002_ensemble_0p7_0p3
FD002,fd002_ensemble_0p6_0p4_thr120_off12,ensemble,piecewise_high_rul_threshold_120_offset_12,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.399821155755095,16.30020065762892,0.8512195926121718,1056.1616737914687,4.093649898416546,56.58914728682171,24.8062015503876,13.565891472868216,43.41085271317829,0.8029668763626459,8.139693238185002,18.737282348632814,0.3204814116641099,150.1769989013672,140.0,False,,120.0,12.0,fd002_ensemble_0p6_0p4
FD002,fd002_ensemble_0p7_0p3_thr80_off4,ensemble,piecewise_high_rul_threshold_80_offset_4,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.613636363938797,15.9272246003325,0.8579503882692342,1058.301375576885,4.101943316189477,56.58914728682171,29.069767441860467,10.077519379844961,43.41085271317829,1.4152989235959275,8.184859817761641,18.714866592407233,0.24615108602474442,142.7662826538086,140.0,False,,80.0,4.0,fd002_ensemble_0p7_0p3
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard_thr120_off12,xgboost,piecewise_high_rul_threshold_120_offset_12,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.57082522931949,16.458702530651312,0.8483120667028852,1058.3844579595511,4.102265340928493,55.42635658914728,24.8062015503876,13.565891472868216,44.57364341085272,0.4150857629702076,8.062047719955444,19.551707458496093,0.3331489561960086,152.5341339111328,140.0,False,,120.0,12.0,fd002_baseline_xgb_condition_fault_sensitive_mid_guard
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard_thr110_off8,xgboost,piecewise_high_rul_threshold_110_offset_8,configs/FD002/fd002_high_rul_calibration_grid_v01.yaml,notebooks/FD002/26_fd002_high_rul_calibration_and_ensemble_v01.ipynb,results/FD002/fd002_predictions_calibrated_v01.csv,results/FD002/fd002_high_rul_calibration_results_v01.csv,258,12.341804171717444,15.806987976454316,0.8600869937693855,1062.098714016604,4.116661682234899,53.48837209302325,28.68217054263566,12.4031007751938,46.51162790697674,1.128264057543851,8.062047719955444,16.68995880126953,0.26708192721386187,148.5341339111328,140.0,False,,110.0,8.0,fd002_baseline_xgb_condition_fault_sensitive_mid_guard
