representation,model_name,n_eval,mae,rmse,r2,cmapss_score,cmapss_score_mean,dangerous_error_pct,candidate_label,model_type,feature_set,window_size,rul_cap,sample_weight_scheme,n_features,params,selection_note,random_state,experiment_stage
temporal_w50_condition_fault_sensitive,lgbm_reference_condition_fault_sensitive,258,13.039175741307366,16.614413967793862,0.8454283308567623,1122.0485908167525,4.349025545801366,9.689922480620156,lgbm_reference_condition_fault_sensitive,lightgbm,condition_fault_sensitive,50,125,none,489,"{""alpha"":0.4,""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD001/FD003 LightGBM recipe with FD002 condition-normalized fault-sensitive features.,42,feature_engineering_search
temporal_w50_condition_normalized,xgb_search_01_squarederror_w50,258,13.357582905495814,16.727559683621326,0.8433158671290457,1132.1196761327883,4.388060760204607,12.015503875968992,xgb_search_01_squarederror_w50,xgboost,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.9,""learning_rate"":0.05,""max_depth"":4,""n_estimators"":900,""objective"":""reg:squarederror"",""reg_alpha"":0.1,""reg_lambda"":10.0,""subsample"":0.9}",FD002 condition-normalized XGBoost hyperparameter search.,42,lgbm_xgb_search
temporal_w50_condition_normalized,hgb_search_03_absolute_error_w50,258,12.69422901422661,16.18708206763948,0.8532774118039211,1137.5722039244129,4.409194588854313,10.07751937984496,hgb_search_03_absolute_error_w50,hist_gradient_boosting,condition_normalized,50,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""absolute_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w50_condition_normalized_weighted,hist_gb_condition_normalized_weighted,258,13.204710142121057,16.584769450312713,0.8459794324032927,1143.8374927320756,4.433478654000293,10.852713178294572,hist_gb_condition_normalized_weighted,hist_gradient_boosting,condition_normalized,50,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.05,""loss"":""squared_error"",""max_iter"":250,""max_leaf_nodes"":31,""min_samples_leaf"":20,""n_iter_no_change"":15,""validation_fraction"":0.1}",Condition-normalized features with near-failure sample weighting.,42,baseline_model_family
temporal_w70_condition_fault_sensitive,xgb_condition_fault_sensitive_w70,258,12.776146378628043,16.387886647757114,0.8496145758892393,1159.2002572190654,4.493024252787075,10.852713178294572,xgb_condition_fault_sensitive_w70,xgboost,condition_fault_sensitive,70,125,bin_weights,489,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",Fault-sensitive XGBoost with a wider temporal context.,42,feature_engineering_search
temporal_w50_condition_normalized,lgbm_search_03_quantile_w50,258,12.892988258477097,16.575748519419907,0.8461469392270546,1178.5123119813873,4.567877178222432,10.852713178294572,lgbm_search_03_quantile_w50,lightgbm,condition_normalized,50,125,soft,364,"{""alpha"":0.45,""colsample_bytree"":0.8,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1000,""num_leaves"":15,""objective"":""quantile"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.9}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w50_condition_normalized,lgbm_search_05_regression_w50,258,13.422692695587711,16.899832535899517,0.8400719490666453,1180.53105885382,4.575701778503178,10.852713178294572,lgbm_search_05_regression_w50,lightgbm,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":1.0,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":1000,""num_leaves"":15,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":10.0,""subsample"":0.8}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w70_condition_normalized,lgbm_search_01_regression_w70,258,13.353500866841046,16.701816201217333,0.8437977654417973,1194.0658832803397,4.6281623382958905,11.627906976744184,lgbm_search_01_regression_w70,lightgbm,condition_normalized,70,125,none,364,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_depth"":-1,""min_child_samples"":10,""n_estimators"":1300,""num_leaves"":31,""objective"":""regression"",""reg_alpha"":0.5,""reg_lambda"":10.0,""subsample"":0.9}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w70_condition_normalized,lgbm_search_06_regression_w70,258,12.90093943355208,16.30946840666328,0.8510503613870396,1200.0975114743464,4.651540742148629,11.24031007751938,lgbm_search_06_regression_w70,lightgbm,condition_normalized,70,125,soft,364,"{""colsample_bytree"":0.8,""learning_rate"":0.03,""max_depth"":-1,""min_child_samples"":40,""n_estimators"":1000,""num_leaves"":47,""objective"":""regression"",""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":1.0}",FD002 condition-normalized LightGBM hyperparameter search.,42,lgbm_xgb_search
temporal_w70_condition_normalized,hgb_search_10_quantile_w70,258,12.595866670269904,16.1523882696352,0.8539056792982049,1204.9418554355077,4.670317269129874,8.13953488372093,hgb_search_10_quantile_w70,hist_gradient_boosting,condition_normalized,70,125,soft,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""quantile"",""max_features"":0.8,""max_iter"":350,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""quantile"":0.45,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w70_condition_normalized,hgb_search_09_squared_error_w70,258,12.821111318890845,16.231861747702087,0.8524645069994685,1214.8062737068233,4.708551448476059,10.465116279069768,hgb_search_09_squared_error_w70,hist_gradient_boosting,condition_normalized,70,125,bin_weights,364,"{""early_stopping"":true,""l2_regularization"":0.1,""learning_rate"":0.06,""loss"":""squared_error"",""max_features"":1.0,""max_iter"":250,""max_leaf_nodes"":63,""min_samples_leaf"":40,""n_iter_no_change"":15,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
temporal_w50_condition_normalized,lgbm_regression_condition_normalized_weighted,258,13.619965979504864,17.040401474582755,0.8374003945532208,1216.1736035925633,4.7138511767153615,12.4031007751938,lgbm_regression_condition_normalized_weighted,lightgbm,condition_normalized,50,125,bin_weights,364,"{""colsample_bytree"":0.9,""learning_rate"":0.04,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":900,""num_leaves"":31,""objective"":""regression"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.9}",LightGBM regression with FD002 condition-aware features and near-failure weights.,42,lgbm_xgb_comparison
temporal_w50_condition_fault_sensitive_mid_guard,lgbm_regression_condition_fault_sensitive_mid_guard,258,13.535435154782428,17.01943172736539,0.8378003352088997,1253.8072740827763,4.859718116599909,12.015503875968992,lgbm_regression_condition_fault_sensitive_mid_guard,lightgbm,condition_fault_sensitive,50,125,mid_rul_guard_soft,489,"{""colsample_bytree"":0.9,""learning_rate"":0.04,""max_depth"":-1,""min_child_samples"":20,""n_estimators"":900,""num_leaves"":31,""objective"":""regression"",""reg_alpha"":0.1,""reg_lambda"":5.0,""subsample"":0.9}",Fault-sensitive LightGBM regression with moderated extra weight on 30-90 RUL.,42,feature_engineering_search
temporal_w50_condition_normalized,xgb_squarederror_condition_normalized,258,13.497466882069906,16.989848380243426,0.8383637193150248,1261.7098305416823,4.890348180394119,12.790697674418606,xgb_squarederror_condition_normalized,xgboost,condition_normalized,50,125,none,364,"{""colsample_bytree"":0.85,""learning_rate"":0.04,""max_depth"":3,""n_estimators"":650,""objective"":""reg:squarederror"",""reg_alpha"":0.0,""reg_lambda"":5.0,""subsample"":0.85}",XGBoost baseline with FD002 condition-aware features.,42,lgbm_xgb_comparison
temporal_w50_condition_normalized,hgb_search_04_quantile_w50,258,12.887731791610598,16.61161886785983,0.8454803347277386,1267.5902241973708,4.913140403865778,11.627906976744184,hgb_search_04_quantile_w50,hist_gradient_boosting,condition_normalized,50,125,none,364,"{""early_stopping"":true,""l2_regularization"":0.0,""learning_rate"":0.08,""loss"":""quantile"",""max_features"":0.8,""max_iter"":250,""max_leaf_nodes"":15,""min_samples_leaf"":10,""n_iter_no_change"":15,""quantile"":0.45,""validation_fraction"":0.1}",FD002 condition-normalized HistGradientBoosting hyperparameter search.,42,hgb_search
