dataset,candidate_name,rul_bin,n_motors,MAE,RMSE,CMAPSS_total,CMAPSS_mean,CMAPSS_share,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,conservative_pct,bias
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,0-25,52,5.142884951371413,6.65756032855943,42.9982167359782,0.8268887833841961,0.043746594509401604,71.15384615384616,5.769230769230769,0.0,28.846153846153843,2.9646996351388784
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,50-75,52,10.981210488539476,14.143949729989659,188.7655906627996,3.630107512746146,0.1920510285986705,76.92307692307693,42.30769230769231,17.307692307692307,23.076923076923077,8.136176109313965
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,75-100,52,13.962847342857948,16.395389151153196,251.72070700125303,4.840782826947174,0.2561018696756701,67.3076923076923,51.92307692307693,28.846153846153843,32.69230769230769,8.678102199847881
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,100-125,52,10.945509837223934,13.787859786195398,120.0079650994923,2.307845482682544,0.12209668645893146,46.15384615384615,21.153846153846153,1.9230769230769231,53.84615384615385,-2.6794523092416616
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,125+,50,22.86302947998047,25.053568535688147,379.40041120851646,7.588008224170329,0.38600382075732637,2.0,0.0,0.0,98.0,-22.841664123535157
